variant,geometry_on,adaptive_routing_on,rows_per_seed,pooled_rows,pooled_nmae,pooled_acc_at_2_percent,seed_nmae_mean,seed_nmae_sd,seed_acc_at_2_percent_mean,seed_acc_at_2_percent_sd
full,True,True,9348,28044,0.01001323831921434,0.9111396377121666,0.010013238319214338,0.00038215079311332414,0.9111396377121667,0.007948111436466366
fixed_routing,True,False,9348,28044,0.011725667353830654,0.8819355298816146,0.011725667353830654,0.0003082256288841939,0.8819355298816146,0.0038515863641400195
no_geometry_fusion,False,True,9348,28044,0.015001190177240518,0.8027028954500072,0.015001190177240518,0.00037537425433208305,0.8027028954500072,0.009296551323515883
no_geometry_fixed_routing,False,False,9348,28044,0.01630613321644822,0.7796676650977036,0.01630613321644822,0.0002994867784642833,0.7796676650977036,0.006801384975544351
