variant,geometry_on,adaptive_routing_on,condition,rows_per_seed,pooled_nmae,seed_nmae_mean,seed_nmae_sd,pooled_acc_at_2_percent,seed_acc_at_2_percent_mean,seed_acc_at_2_percent_sd
full,True,True,clean,1558,0.007828385493927026,0.007828385493927026,0.00020392656429856602,0.9405220367993153,0.9405220367993153,0.005458857861434744
full,True,True,blur_moderate,1558,0.007784649422394104,0.007784649422394104,0.00016330709338075716,0.941591784338896,0.941591784338896,0.0061228446817518465
full,True,True,blur_severe,1558,0.007997844967143472,0.007997844967143472,0.0002944662165264523,0.9418057338468121,0.9418057338468122,0.006461133449097773
full,True,True,perspective_moderate,1558,0.00991583746890801,0.009915837468908012,0.0004897068973885118,0.9135643988018828,0.9135643988018828,0.014140104100862923
full,True,True,perspective_severe,1558,0.012416269114105462,0.012416269114105462,0.0006092289297894526,0.8724860932819855,0.8724860932819855,0.009174917262469636
full,True,True,combined_severe,1558,0.014136443448807962,0.014136443448807962,0.0006937576839202125,0.8568677792041078,0.8568677792041078,0.012245689363503804
fixed_routing,True,False,clean,1558,0.00795128120871545,0.00795128120871545,0.00026074413191733386,0.9407359863072315,0.9407359863072315,0.005148142668171119
fixed_routing,True,False,blur_moderate,1558,0.007916360422387775,0.007916360422387777,0.00023854785605057207,0.9420196833547283,0.9420196833547282,0.005533811363447846
fixed_routing,True,False,blur_severe,1558,0.008130733556203352,0.008130733556203352,0.0003739844780774897,0.9403080872913993,0.9403080872913993,0.006942653290367164
fixed_routing,True,False,perspective_moderate,1558,0.010649115067175412,0.01064911506717541,0.0005295681192512005,0.9032948224219084,0.9032948224219085,0.012081992215229327
fixed_routing,True,False,perspective_severe,1558,0.016787193209408757,0.016787193209408757,0.0005382415600569587,0.7971758664955071,0.797175866495507,0.00651405106873698
fixed_routing,True,False,combined_severe,1558,0.018919320659093183,0.018919320659093183,0.00031404342452351,0.7680787334189131,0.7680787334189132,0.0037608891380502304
no_geometry_fusion,False,True,clean,1558,0.007815579552875238,0.007815579552875238,0.00018926119485197592,0.9403080872913993,0.9403080872913993,0.005776636713735572
no_geometry_fusion,False,True,blur_moderate,1558,0.007774660151895642,0.007774660151895642,0.00014902502961394376,0.941591784338896,0.941591784338896,0.006762293807992815
no_geometry_fusion,False,True,blur_severe,1558,0.007998399632542582,0.007998399632542582,0.00028560567208091515,0.941591784338896,0.941591784338896,0.006762293807992815
no_geometry_fusion,False,True,perspective_moderate,1558,0.013764837802289055,0.013764837802289057,0.0009295549022059355,0.8483097988874626,0.8483097988874625,0.017581651479719136
no_geometry_fusion,False,True,perspective_severe,1558,0.025153120263638865,0.025153120263638865,0.0004120454701303479,0.5877192982456141,0.587719298245614,0.01221762219535237
no_geometry_fusion,False,True,combined_severe,1558,0.02750054366020173,0.027500543660201725,0.0009881580616871639,0.5566966195977749,0.5566966195977749,0.01915176761021363
no_geometry_fixed_routing,False,False,clean,1558,0.00795128120871545,0.00795128120871545,0.00026074413191733386,0.9407359863072315,0.9407359863072315,0.005148142668171119
no_geometry_fixed_routing,False,False,blur_moderate,1558,0.007916360422387775,0.007916360422387777,0.00023854785605057207,0.9420196833547283,0.9420196833547282,0.005533811363447846
no_geometry_fixed_routing,False,False,blur_severe,1558,0.008130733556203352,0.008130733556203352,0.0003739844780774897,0.9403080872913993,0.9403080872913993,0.006942653290367164
no_geometry_fixed_routing,False,False,perspective_moderate,1558,0.014615318323389746,0.014615318323389748,0.0008607177945445059,0.8226358579375267,0.8226358579375267,0.014008383855259626
no_geometry_fixed_routing,False,False,perspective_severe,1558,0.02856267635464277,0.02856267635464277,0.0002774528629525573,0.5310226786478391,0.531022678647839,0.005344456994778244
no_geometry_fixed_routing,False,False,combined_severe,1558,0.03066042943335022,0.03066042943335022,0.0007405186413685197,0.5012836970474968,0.5012836970474969,0.015761269778958534
