angle,difference_direction,seed_mean,seed_sd,ci_95_lower,ci_95_upper,bootstrap_replicates,scene_clusters,seed_20262020,seed_20262021,seed_20262022
0,Full GeoPRR minus Raw EfficientNet-B0,-0.000339409102766189,0.0001621676987858631,-0.0003931319703998187,-0.00028215930517234126,20000,14,-0.0005168081504434378,-0.0003026282262703676,-0.00019879093158476166
15,Full GeoPRR minus Raw EfficientNet-B0,-0.003150569912910682,0.0003134626741430062,-0.003516355545977549,-0.002810254387633649,20000,14,-0.0030781620318810323,-0.002879647377597581,-0.003493900329253433
25,Full GeoPRR minus Raw EfficientNet-B0,-0.006892030355642661,6.861510741397529e-05,-0.0074256090411987654,-0.006299368313046372,20000,14,-0.006965822652702666,-0.006830153101524889,-0.006880115312700426
35,Full GeoPRR minus Raw EfficientNet-B0,-0.012490584193537026,0.00041966243844111957,-0.013490829609113178,-0.011310312140176304,20000,14,-0.012181963028620263,-0.012968439664167684,-0.012321349887823128
45,Full GeoPRR minus Raw EfficientNet-B0,-0.026867833061361812,0.0019046271368291178,-0.030324848175472357,-0.023124784450101257,20000,14,-0.02501875417580703,-0.02676121539361119,-0.028823529614667224
60,Full GeoPRR minus Raw EfficientNet-B0,0.0005386588438677737,0.000942860437431694,0.00040217037871764105,0.000674157968121434,20000,14,0.0016004589283325924,0.00021613643946333095,-0.00020061883619260226
