variant,geometry_on,adaptive_routing_on,seed,rows,nmae,acc_at_2_percent
full,True,True,20262020,9348,0.01033623825461023,0.9053273427471117
full,True,True,20262021,9348,0.010112108299816559,0.9078947368421053
full,True,True,20262022,9348,0.009591368403216229,0.9201968335472829
fixed_routing,True,False,20262020,9348,0.011863520429348955,0.8820068463842533
fixed_routing,True,False,20262021,9348,0.011940907027079546,0.8780487804878049
fixed_routing,True,False,20262022,9348,0.011372574605063464,0.8857509627727856
no_geometry_fusion,False,True,20262020,9348,0.015403539387789265,0.7939666238767651
no_geometry_fusion,False,True,20262021,9348,0.014939629917194235,0.8016688061617459
no_geometry_fusion,False,True,20262022,9348,0.014660401226738057,0.8124732563115105
no_geometry_fixed_routing,False,False,20262020,9348,0.01662333659604636,0.77267864783911
no_geometry_fixed_routing,False,False,20262021,9348,0.016266816238383525,0.7800599058622165
no_geometry_fixed_routing,False,False,20262022,9348,0.016028246814914774,0.7862644415917843
