method,seed,phase,accounting_scope,population,expected_unique_training_images,recorded_population_and_update_epochs,source_population_matches,expected_epochs,recorded_epochs,status,training_hours,validation_and_other_epoch_hours,recorded_epoch_hours,validation_epochs,learning_rate_epochs,optimizer_steps
geoprr,20262021,r2mt_mean_risk,final_recipe,geoprr_candidates,12818,40,True,40,40,complete,0.006900800111470744,0.0,0.006900811166916456,0,40,2040
geoprr,20262021,r2mt_tail_risk,final_recipe,geoprr_candidates,12818,40,True,40,40,complete,0.006988243749882612,0.0,0.006988253915915265,0,40,2040
geoprr,20262021,r2mt_combined_risk,final_recipe,geoprr_candidates,12818,40,True,40,40,complete,0.006970612111294435,0.0,0.006970622639120039,0,40,2040
geoprr,20262021,r2mt_router,final_recipe,geoprr_candidates,12818,40,True,40,40,complete,0.008220654333191406,0.0,0.008220663999802329,0,40,2040
geoprr,20262021,polar,final_recipe,geoprr_candidates,12818,10,True,10,10,complete,0.13307147691660146,0.0,0.13307147691660146,0,10,2010
geoprr,20262021,full_router_stage_one,final_recipe,geoprr_router,3182,40,True,40,40,complete,0.00867658686099781,0.0,0.00867658686099781,0,40,1520
geoprr,20262021,full_router_stage_two,final_recipe,geoprr_router,3182,120,True,120,120,complete,0.0005356610836719887,0.0,0.0005356610836719887,0,120,120
geoprr,20262021,no_geometry_fusion_router_stage_one,final_recipe,geoprr_router,3182,40,True,40,40,complete,0.008596889694324797,0.0,0.008596889694324797,0,40,1520
geoprr,20262021,no_geometry_fusion_router_stage_two,final_recipe,geoprr_router,3182,120,True,120,120,complete,0.0005321589174369971,0.0,0.0005321589174369971,0,120,120
geoprr,20262021,no_polar_evidence_router_stage_one,final_recipe,geoprr_router,3182,40,True,40,40,complete,0.008662753028070761,0.0,0.008662753028070761,0,40,1520
geoprr,20262021,no_polar_evidence_router_stage_two,final_recipe,geoprr_router,3182,120,True,120,120,complete,0.0005228592217382458,0.0,0.0005228592217382458,0,120,120
geoprr,20262021,no_relational_transport_router_stage_one,final_recipe,geoprr_router,3182,40,True,40,40,complete,0.008650955527555198,0.0,0.008650955527555198,0,40,1520
geoprr,20262021,no_relational_transport_router_stage_two,final_recipe,geoprr_router,3182,120,True,120,120,complete,0.0005369189720497363,0.0,0.0005369189720497363,0,120,120
geoprr,20262022,raw_efficientnet_b0,final_recipe,geoprr_candidates,12818,60,True,60,60,complete,0.8115162002497042,0.0,0.8115165043895185,0,60,12058
geoprr,20262022,remst,final_recipe,geoprr_candidates,12818,5,True,5,5,complete,0.32159527733339927,0.0,0.32159527919462155,0,5,8015
geoprr,20262022,r2mt_mean_risk,final_recipe,geoprr_candidates,12818,40,True,40,40,complete,0.00693949797268336,0.0,0.0069395095556198305,0,40,2040
geoprr,20262022,r2mt_tail_risk,final_recipe,geoprr_candidates,12818,40,True,40,40,complete,0.007110433917259798,0.0,0.007110444167111483,0,40,2040
geoprr,20262022,r2mt_combined_risk,final_recipe,geoprr_candidates,12818,40,True,40,40,complete,0.007176499555482426,0.0,0.007176509305912381,0,40,2040
geoprr,20262022,r2mt_router,final_recipe,geoprr_candidates,12818,40,True,40,40,complete,0.008148524916808432,0.0,0.008148536277650338,0,40,2040
geoprr,20262022,polar,final_recipe,geoprr_candidates,12818,10,True,10,10,complete,0.13291138400013247,0.0,0.13291138400013247,0,10,2010
geoprr,20262022,full_router_stage_one,final_recipe,geoprr_router,3182,40,True,40,40,complete,0.008671491694921214,0.0,0.008671491694921214,0,40,1520
geoprr,20262022,full_router_stage_two,final_recipe,geoprr_router,3182,120,True,120,120,complete,0.0005422629163755725,0.0,0.0005422629163755725,0,120,120
geoprr,20262022,no_geometry_fusion_router_stage_one,final_recipe,geoprr_router,3182,40,True,40,40,complete,0.008649179083036466,0.0,0.008649179083036466,0,40,1520
geoprr,20262022,no_geometry_fusion_router_stage_two,final_recipe,geoprr_router,3182,120,True,120,120,complete,0.0005436578337361829,0.0,0.0005436578337361829,0,120,120
geoprr,20262022,no_polar_evidence_router_stage_one,final_recipe,geoprr_router,3182,40,True,40,40,complete,0.008631593749936049,0.0,0.008631593749936049,0,40,1520
geoprr,20262022,no_polar_evidence_router_stage_two,final_recipe,geoprr_router,3182,120,True,120,120,complete,0.0005277670002801137,0.0,0.0005277670002801137,0,120,120
geoprr,20262022,no_relational_transport_router_stage_one,final_recipe,geoprr_router,3182,40,True,40,40,complete,0.008629503888854136,0.0,0.008629503888854136,0,40,1520
geoprr,20262022,no_relational_transport_router_stage_two,final_recipe,geoprr_router,3182,120,True,120,120,complete,0.0005407027217249076,0.0,0.0005407027217249076,0,120,120
