dataset,seed,configuration,scope,nmae_pct_fs,acc_at_2_pct,acc_at_5_pct,coverage_pct,failures,rows,nmae_change_from_default_pct_fs,weight_denominator,saturated_rows,percent_max_weight_strictly_gt_095,rows_with_missing_or_nonfinite_weights
Industrial-1395,20262020,alpha_0_default_prior,all_conditions,11.812877109853432,13.978494623655912,37.992831541218635,100.0,0,8370,0.22166196437277463,8370,0,0.0,0
Industrial-1395,20262020,alpha_0_default_prior,clean,11.665537300997165,17.132616487455195,45.66308243727599,100.0,0,1395,0.02191937556296253,1395,0,0.0,0
Industrial-1395,20262020,alpha_0_default_prior,blur_moderate,11.575679027310159,17.491039426523297,45.59139784946237,100.0,0,1395,0.022676584530476163,1395,0,0.0,0
Industrial-1395,20262020,alpha_0_default_prior,blur_severe,11.642468347170947,17.562724014336915,44.229390681003586,100.0,0,1395,0.02577463409593328,1395,0,0.0,0
Industrial-1395,20262020,alpha_0_default_prior,perspective_moderate,10.825780058843366,13.906810035842293,39.6415770609319,100.0,0,1395,0.006141177014118426,1395,0,0.0,0
Industrial-1395,20262020,alpha_0_default_prior,perspective_severe,12.368024421186858,9.032258064516128,26.810035842293907,100.0,0,1395,0.5968363653192821,1395,0,0.0,0
Industrial-1395,20262020,alpha_0_default_prior,combined_severe,12.79977350361209,8.745519713261649,26.021505376344084,100.0,0,1395,0.6566236497138682,1395,0,0.0,0
Industrial-1395,20262020,alpha_0_default_prior,perspective_pair,11.596902240015112,11.469534050179211,33.225806451612904,100.0,0,2790,0.30148877116670114,2790,0,0.0,0
Industrial-1395,20262020,alpha_0_default_prior,projective_three,11.997859327880771,10.561529271206691,30.824372759856633,100.0,0,4185,0.41986706401575624,4185,0,0.0,0
Industrial-1395,20262020,alpha_10_default_prior,all_conditions,11.706033297966407,14.050179211469535,39.60573476702509,100.0,0,8370,0.11481815248574989,8370,0,0.0,0
Industrial-1395,20262020,alpha_10_default_prior,clean,11.663602889932895,17.132616487455195,45.73476702508961,100.0,0,1395,0.019984964498691582,1395,0,0.0,0
Industrial-1395,20262020,alpha_10_default_prior,blur_moderate,11.573601299688182,17.491039426523297,45.59139784946237,100.0,0,1395,0.020598856908499386,1395,0,0.0,0
