method,seed,phase,epoch,accounting_scope,optimization_phase,phase_epoch,learning_rate,training_hours,population,unique_training_images,image_condition_rows,optimizer_steps,validation_and_other_epoch_hours,recorded_epoch_hours
resnet18,20262020,source_model,40,final_recipe,continuation,10,2.3816778784387094e-05,0.015373067277768214,full,16000,16000,250,0.0,0.015373072166694328
resnet18,20262020,source_model,41,final_recipe,continuation,11,2.2499999999999998e-05,0.015436451694436578,full,16000,16000,250,0.0,0.01543645652774204
resnet18,20262020,source_model,42,final_recipe,continuation,12,2.1101049646137004e-05,0.015361340805603606,full,16000,16000,250,0.0,0.015361345388874825
resnet18,20262020,source_model,43,final_recipe,continuation,13,1.963525491562421e-05,0.015430161805642354,full,16000,16000,250,0.0,0.015430166388913575
resnet18,20262020,source_model,44,final_recipe,continuation,14,1.8118675362266388e-05,0.01533299777786144,full,16000,16000,250,0.0,0.015333002277831029
resnet18,20262020,source_model,45,final_recipe,continuation,15,1.6567926949014805e-05,0.015448020249993229,full,16000,16000,249,0.0,0.015448025138919345
resnet18,20262020,source_model,46,final_recipe,continuation,16,1.5000000000000005e-05,0.015486748138856556,full,16000,16000,250,0.0,0.0154867534722305
resnet18,20262020,source_model,47,final_recipe,continuation,17,1.3432073050985203e-05,0.015346763111107673,full,16000,16000,250,0.0,0.015346768000033787
resnet18,20262020,source_model,48,final_recipe,continuation,18,1.188132463773361e-05,0.015325091166758082,full,16000,16000,250,0.0,0.015325096333399416
resnet18,20262020,source_model,49,final_recipe,continuation,19,1.036474508437579e-05,0.015423667361157843,full,16000,16000,250,0.0,0.015423672888945375
resnet18,20262020,source_model,50,final_recipe,continuation,20,8.898950353862998e-06,0.015307642694355713,full,16000,16000,250,0.0,0.015307647888807372
resnet18,20262020,source_model,51,final_recipe,continuation,21,7.5000000000000044e-06,0.015355898055454923,full,16000,16000,250,0.0,0.015355903138794626
resnet18,20262020,source_model,52,final_recipe,continuation,22,6.183221215612905e-06,0.015366817333399214,full,16000,16000,250,0.0,0.015366821888989458
resnet18,20262020,source_model,53,final_recipe,continuation,23,4.963040904617132e-06,0.015389558027834736,full,16000,16000,250,0.0,0.015389563472191286
resnet18,20262020,source_model,54,final_recipe,continuation,24,3.852827617839089e-06,0.015389445638930839,full,16000,16000,250,0.0,0.015389450805572172
resnet18,20262020,source_model,55,final_recipe,continuation,25,2.8647450843757908e-06,0.015464507444477122,full,16000,16000,250,0.0,0.015464511861145083
resnet18,20262020,source_model,56,final_recipe,continuation,26,2.0096189432334203e-06,0.015349036305625405,full,16000,16000,250,0.0,0.015349041444456412
resnet18,20262020,source_model,57,final_recipe,continuation,27,1.2968181353609858e-06,0.015405456305662583,full,16000,16000,250,0.0,0.015405461027856088
resnet18,20262020,source_model,58,final_recipe,continuation,28,7.341522555726972e-07,0.015321319000019382,full,16000,16000,250,0.0,0.015321323750023213
resnet18,20262020,source_model,59,final_recipe,continuation,29,3.277859889929148e-07,0.015408764083404095,full,16000,16000,250,0.0,0.0154087692222351
resnet18,20262020,source_model,60,final_recipe,continuation,30,8.2171569475899e-08,0.015385431499970664,full,16000,16000,250,0.0,0.015385436055560907
resnet18,20262021,source_model,1,final_recipe,initial,1,0.0003,0.015429825722239911,full,16000,16000,250,0.0,0.015429831611173641
resnet18,20262021,source_model,2,final_recipe,initial,2,0.00029917828430524096,0.015246997361149019,full,16000,16000,250,0.0,0.015247003111160463
resnet18,20262021,source_model,3,final_recipe,initial,3,0.0002967221401100708,0.015492564194525282,full,16000,16000,250,0.0,0.015492571250069887
resnet18,20262021,source_model,4,final_recipe,initial,4,0.00029265847744427303,0.015260736944490216,full,16000,16000,250,0.0,0.015260742527769051
resnet18,20262021,source_model,5,final_recipe,initial,5,0.0002870318186463901,0.015307064777783428,full,16000,16000,250,0.0,0.015307070527794875
resnet18,20262021,source_model,6,final_recipe,initial,6,0.0002799038105676658,0.015339559722148503,full,16000,16000,250,0.0,0.015339565222125708
resnet18,20262021,source_model,7,final_recipe,initial,7,0.0002713525491562421,0.015394144805613906,full,16000,16000,250,0.0,0.015394151500012311
resnet18,20262021,source_model,8,final_recipe,initial,8,0.00026147172382160914,0.015323196944470208,full,16000,16000,250,0.0,0.015323203472265352
resnet18,20262021,source_model,9,final_recipe,initial,9,0.00025036959095382875,0.015401177777805261,full,16000,16000,250,0.0,0.015401182888955292
resnet18,20262021,source_model,10,final_recipe,initial,10,0.000238167787843871,0.015360457388839373,full,16000,16000,250,0.0,0.015360462499989404
resnet18,20262021,source_model,11,final_recipe,initial,11,0.00022500000000000002,0.015325225083312641,full,16000,16000,250,0.0,0.015325229722204514
resnet18,20262021,source_model,12,final_recipe,initial,12,0.0002110104964613701,0.015286051861088102,full,16000,16000,250,0.0,0.015286057583289221
resnet18,20262021,source_model,13,final_recipe,initial,13,0.00019635254915624216,0.015331266194504376,full,16000,16000,250,0.0,0.015331270749965268
resnet18,20262021,source_model,14,final_recipe,initial,14,0.00018118675362266393,0.015321744611072871,full,16000,16000,250,0.0,0.015321749138852788
resnet18,20262021,source_model,15,final_recipe,initial,15,0.0001656792694901481,0.015311864000072496,full,16000,16000,250,0.0,0.015311868861188285
resnet18,20262021,source_model,16,final_recipe,initial,16,0.0001500000000000001,0.015482458972191025,full,16000,16000,250,0.0,0.015482463722194856
resnet18,20262021,source_model,17,final_recipe,initial,17,0.00013432073050985205,0.015481633444368426,full,16000,16000,250,0.0,0.015481639444414112
resnet18,20262021,source_model,18,final_recipe,initial,18,0.00011881324637733612,0.015423969111094872,full,16000,16000,250,0.0,0.015423973499952505
resnet18,20262021,source_model,19,final_recipe,initial,19,0.00010364745084375793,0.015312843416662265,full,16000,16000,250,0.0,0.01531284883333784
resnet18,20262021,source_model,20,final_recipe,initial,20,8.898950353863e-05,0.015351346083399322,full,16000,16000,250,0.0,0.015351350805592827
resnet18,20262021,source_model,21,final_recipe,initial,21,7.500000000000006e-05,0.01531650102774923,full,16000,16000,250,0.0,0.015316505666641105
resnet18,20262021,source_model,22,final_recipe,initial,22,6.183221215612908e-05,0.01534808186102762,full,16000,16000,250,0.0,0.015348086333316233
resnet18,20262021,source_model,23,final_recipe,initial,23,4.963040904617134e-05,0.015333534916733496,full,16000,16000,250,0.0,0.01533353980565961
resnet18,20262021,source_model,24,final_recipe,initial,24,3.85282761783909e-05,0.01536650272228548,full,16000,16000,250,0.0,0.015366509416683887
resnet18,20262021,source_model,25,final_recipe,initial,25,2.8647450843757918e-05,0.01537180838886545,full,16000,16000,250,0.0,0.01537181444440244
resnet18,20262021,source_model,26,final_recipe,initial,26,2.0096189432334208e-05,0.015348148833339414,full,16000,16000,250,0.0,0.015348154166584006
resnet18,20262021,source_model,27,final_recipe,initial,27,1.2968181353609862e-05,0.015311179388857758,full,16000,16000,250,0.0,0.015311183916637675
resnet18,20262021,source_model,28,final_recipe,initial,28,7.341522555726975e-06,0.015347895777861898,full,16000,16000,250,0.0,0.015347900166719532
resnet18,20262021,source_model,29,final_recipe,initial,29,3.277859889929149e-06,0.015326847583314197,full,16000,16000,250,0.0,0.015326853833264775
resnet18,20262021,source_model,30,final_recipe,initial,30,8.217156947589904e-07,0.015383454194525257,full,16000,16000,250,0.0,0.015383458888908434
resnet18,20262021,source_model,31,final_recipe,continuation,1,3e-05,0.015347155027686514,full,16000,16000,250,0.0,0.015347161111033831
resnet18,20262021,source_model,32,final_recipe,continuation,2,2.99178284305241e-05,0.015413241888810363,full,16000,16000,250,0.0,0.015413246444400607
resnet18,20262021,source_model,33,final_recipe,continuation,3,2.9672214011007083e-05,0.015365727527791428,full,16000,16000,249,0.0,0.015365732388907215
resnet18,20262021,source_model,34,final_recipe,continuation,4,2.9265847744427305e-05,0.01537624144448071,full,16000,16000,250,0.0,0.015376245722226385
resnet18,20262021,source_model,35,final_recipe,continuation,5,2.870318186463901e-05,0.015321801527817216,full,16000,16000,250,0.0,0.015321806388933004
resnet18,20262021,source_model,36,final_recipe,continuation,6,2.7990381056766583e-05,0.015344646277759845,full,16000,16000,250,0.0,0.015344650610996824
resnet18,20262021,source_model,37,final_recipe,continuation,7,2.7135254915624213e-05,0.015298766611118076,full,16000,16000,250,0.0,0.01529877133331158
resnet18,20262021,source_model,38,final_recipe,continuation,8,2.6147172382160913e-05,0.015506122111110016,full,16000,16000,250,0.0,0.015506127472294287
resnet18,20262021,source_model,39,final_recipe,continuation,9,2.503695909538287e-05,0.015413780250043297,full,16000,16000,250,0.0,0.015413784999917779
resnet18,20262021,source_model,40,final_recipe,continuation,10,2.3816778784387094e-05,0.015286186972322563,full,16000,16000,250,0.0,0.015286192305567157
resnet18,20262021,source_model,41,final_recipe,continuation,11,2.2499999999999998e-05,0.015338339722172047,full,16000,16000,250,0.0,0.015338344249951964
resnet18,20262021,source_model,42,final_recipe,continuation,12,2.1101049646137004e-05,0.015291546166667508,full,16000,16000,250,0.0,0.015291551472231124
resnet18,20262021,source_model,43,final_recipe,continuation,13,1.963525491562421e-05,0.015466307083325874,full,16000,16000,250,0.0,0.015466311805519379
resnet18,20262021,source_model,44,final_recipe,continuation,14,1.8118675362266388e-05,0.015353651472186257,full,16000,16000,249,0.0,0.015353656444414
resnet18,20262021,source_model,45,final_recipe,continuation,15,1.6567926949014805e-05,0.015349273472222397,full,16000,16000,250,0.0,0.015349277916700682
