seed,stage,pipeline_stage,epoch,learning_rate,elapsed_seconds,training_elapsed_seconds,train_elapsed_seconds,steps,optimizer_steps,samples,unique_training_images,image_condition_rows,condition_rows,physical_samples_seen,metric_absolute_moment_error,metric_absolute_total_shift,metric_combined_risk_weight,metric_condition_regression,metric_consistency,metric_final_l1,metric_gain,metric_gain_loss,metric_gradient_norm,metric_loss,metric_mean_absolute_shift,metric_mean_condition_l1,metric_mean_risk_weight,metric_moment_budget_gain,metric_nmae,metric_no_harm,metric_polar_consistency,metric_prior_kl,metric_raw_nmae,metric_relation_available,metric_route,metric_route_imitation,metric_route_loss,metric_sarn_nmae,metric_scale16_feature_residual_rms,metric_scale8_feature_residual_rms,metric_tail10,metric_tail_l1,metric_tail_risk_weight,metric_weighted_exact_l1,metric_worst_excess
20262020,remst,remst,1,0.0003,316.9208585000597,316.92085730005056,,2000,2000,,16000,48000,48000,16000,1.2788727936613453e-08,0.00415353084424396,,,,,,,,0.4593951003551483,,,,1.022807324975729,0.014252641474828125,,,,0.024310812142677603,0.9432083427608013,,,,0.01712102361000143,0.022375197865650988,0.027822018503706202,,,,,
20262020,remst,remst,2,0.0002713525491562421,318.3853825000115,318.38538130000234,,2000,2000,,16000,48000,48000,16000,1.300158851191835e-08,0.007128028876613826,,,,,,,,0.43818717856705186,,,,1.0732166503071785,0.01251856765418779,,,,0.024313403767067938,0.9445000095069408,,,,0.017450233069946988,0.03138929296704009,0.03431782669294626,,,,,
20262020,remst,remst,3,0.0001963525491562421,317.69745340012014,317.69745199987665,,2000,2000,,16000,48000,48000,16000,1.2979857652167803e-08,0.008692064953269437,,,,,,,,0.42502634692192076,,,,1.1119210934042931,0.011454388124053366,,,,0.02479233635449782,0.9443125092089176,,,,0.01752058740123175,0.03499482626654208,0.03743883130326867,,,,,
20262020,remst,remst,4,0.00010364745084375788,318.2906456999481,318.2906442997046,,2000,2000,,16000,48000,48000,16000,1.280700029667424e-08,0.009034229207667522,,,,,,,,0.4233431570231915,,,,1.1362197304964066,0.011506303827511147,,,,0.02498681360995397,0.9438750091791153,,,,0.017932971591129897,0.03655834203865379,0.03746152537688613,,,,,
20262020,remst,remst,5,2.8647450843757894e-05,318.1418241998181,318.14182269992307,,2000,2000,,16000,48000,48000,16000,1.2833120973608156e-08,0.008995528429048136,,,,,,,,0.4160557021200657,,,,1.1483505214452743,0.010937767257797533,,,,0.024749166124500333,0.9436875088512897,,,,0.017418012619949876,0.03709154134523124,0.03717778890579939,,,,,
20262020,r2mt_mean_risk,r2mt,1,0.001,0.7940087001770735,,0.7940064002759755,,63,,16000,48000,,,,,,,0.005411666251718998,,,,,0.00959295354783535,0.0027130813002586365,,,,,,,,,,,,,,,,,0.017599506020545958,,0.007724767751991749,
20262020,r2mt_mean_risk,r2mt,2,0.000998458666866564,0.777840600349009,,0.7778392001055181,,63,,16000,48000,,,,,,,0.0052702312953770165,,,,,0.008633000560104846,0.0018099597860127689,,,,,,,,,,,,,,,,,0.016277324363589286,,0.006899862799793482,
20262020,r2mt_mean_risk,r2mt,3,0.0009938441702975688,0.748652399983257,,0.748650100082159,,63,,16000,48000,,,,,,,0.005179495971649885,,,,,0.008430897362530231,0.0022863422967493536,,,,,,,,,,,,,,,,,0.015853178799152375,,0.006741988506168127,
20262020,r2mt_mean_risk,r2mt,4,0.0009861849601988382,0.8115110998041928,,0.811508399900049,,63,,16000,48000,,,,,,,0.005112684078514576,,,,,0.008152461919933558,0.0026424054224044083,,,,,,,,,,,,,,,,,0.015378211498260498,,0.006512385580688715,
20262020,r2mt_mean_risk,r2mt,5,0.0009755282581475767,0.757882900070399,,0.7578805000521243,,63,,16000,48000,,,,,,,0.005059001259505749,,,,,0.007951887413859368,0.0029971632529050113,,,,,,,,,,,,,,,,,0.014927572220563888,,0.006357948135584593,
20262020,r2mt_mean_risk,r2mt,6,0.0009619397662556432,0.7419789000414312,,0.7419769000262022,,63,,16000,48000,,,,,,,0.005010127417743206,,,,,0.007773488871753216,0.0031629264913499355,,,,,,,,,,,,,,,,,0.014586929596960545,,0.006214590981602669,
20262020,r2mt_mean_risk,r2mt,7,0.0009455032620941838,0.7630597995594144,,0.7630575997754931,,63,,16000,48000,,,,,,,0.004949235647916794,,,,,0.0075522555112838745,0.003451919849961996,,,,,,,,,,,,,,,,,0.014157138958573342,,0.006037554025650024,
20262020,r2mt_mean_risk,r2mt,8,0.000926320082177046,0.8261921000666916,,0.8261895999312401,,63,,16000,48000,,,,,,,0.004899945065379142,,,,,0.007402514971792698,0.0036012832038104536,,,,,,,,,,,,,,,,,0.013869961351156234,,0.005917516767978668,
20262020,r2mt_mean_risk,r2mt,9,0.0009045084971874736,0.758150499779731,,0.7581492001190782,,63,,16000,48000,,,,,,,0.004860209807753563,,,,,0.007169365361332894,0.003830426061525941,,,,,,,,,,,,,,,,,0.013424570001661777,,0.00572970074787736,
20262020,r2mt_mean_risk,r2mt,10,0.0008802029828000154,0.7721337000839412,,0.7721322998404503,,63,,16000,48000,,,,,,,0.004807741031050682,,,,,0.006981800653040409,0.003989664688706398,,,,,,,,,,,,,,,,,0.013063757844269277,,0.005579266265034676,
20262020,r2mt_mean_risk,r2mt,11,0.0008535533905932736,0.8314662999473512,,0.8314648997038603,,63,,16000,48000,,,,,,,0.004771776583045721,,,,,0.006880280613899231,0.004100286297500134,,,,,,,,,,,,,,,,,0.012821607612073422,,0.005502680294215679,
20262020,r2mt_mean_risk,r2mt,12,0.0008247240241650918,0.770527099724859,,0.7705257995985448,,63,,16000,48000,,,,,,,0.0047323032990098,,,,,0.006687390450388193,0.0042630285397171975,,,,,,,,,,,,,,,,,0.012457509063184262,,0.005346989087760448,
20262020,r2mt_mean_risk,r2mt,13,0.0007938926261462365,0.7929607997648418,,0.7929590996354818,,63,,16000,48000,,,,,,,0.004659302104264498,,,,,0.006518180668354035,0.00437252214923501,,,,,,,,,,,,,,,,,0.01214518240839243,,0.005210471842437983,
20262020,r2mt_mean_risk,r2mt,14,0.0007612492823579742,0.777097100391984,,0.7770958002656698,,63,,16000,48000,,,,,,,0.004634967822581529,,,,,0.0063471455499529835,0.00448211221024394,,,,,,,,,,,,,,,,,0.011855864226818084,,0.005068854939192534,
20262020,r2mt_mean_risk,r2mt,15,0.0007269952498697732,0.8575124000199139,,0.857511100359261,,63,,16000,48000,,,,,,,0.004588938824832439,,,,,0.006269094556570053,0.004602242700755596,,,,,,,,,,,,,,,,,0.011658104673027992,,0.005011500351130962,
20262020,r2mt_mean_risk,r2mt,16,0.0006913417161825447,0.7623522002249956,,0.7623513001017272,,63,,16000,48000,,,,,,,0.0045442676916718485,,,,,0.006053983390331268,0.004711685121059418,,,,,,,,,,,,,,,,,0.011246404595673084,,0.00483845230191946,
20262020,r2mt_mean_risk,r2mt,17,0.0006545084971874736,0.7388278003782034,,0.7388262003660202,,63,,16000,48000,,,,,,,0.004493784591555595,,,,,0.005956210535019636,0.004820202562958002,,,,,,,,,,,,,,,,,0.011065960004925728,,0.004759733397513628,
20262020,r2mt_mean_risk,r2mt,18,0.0006167226819279527,0.7663986999541521,,0.7663973001763225,,63,,16000,48000,,,,,,,0.004454550925642252,,,,,0.005779129087924957,0.0048875192478299145,,,,,,,,,,,,,,,,,0.010756428495049477,,0.004614389661699534,
20262020,r2mt_mean_risk,r2mt,19,0.0005782172325201154,0.8336354000493884,,0.833633600268513,,63,,16000,48000,,,,,,,0.004405278265476226,,,,,0.005586802199482918,0.005042067568749189,,,,,,,,,,,,,,,,,0.01036171966791153,,0.0044625187367200855,
20262020,r2mt_mean_risk,r2mt,20,0.0005392295478639224,0.7818967998027802,,0.7818958000279963,,63,,16000,48000,,,,,,,0.004354494886472821,,,,,0.005477635383605957,0.00508485484495759,,,,,,,,,,,,,,,,,0.010170292280614376,,0.004373510222882032,
20262020,r2mt_mean_risk,r2mt,21,0.0004999999999999999,0.7688683001324534,,0.768867100123316,,63,,16000,48000,,,,,,,0.004325838882476092,,,,,0.005335698250681162,0.005181766338646412,,,,,,,,,,,,,,,,,0.009922736927866936,,0.004256901551038026,
20262020,r2mt_mean_risk,r2mt,22,0.0004607704521360775,0.7876072996295989,,0.7876057997345924,,63,,16000,48000,,,,,,,0.004273326892405748,,,,,0.005225048970431089,0.005251964092254638,,,,,,,,,,,,,,,,,0.009693515807390213,,0.004170224560424685,
20262020,r2mt_mean_risk,r2mt,23,0.0004217827674798846,0.8831599000841379,,0.8831583000719547,,63,,16000,48000,,,,,,,0.004213767115026712,,,,,0.005047322150319815,0.005349523220211268,,,,,,,,,,,,,,,,,0.009381626538932323,,0.004024877667427063,
20262020,r2mt_mean_risk,r2mt,24,0.0003832773180720472,0.7452545999549329,,0.7452532001771033,,63,,16000,48000,,,,,,,0.00418095251917839,,,,,0.004946889135986567,0.0054338198378682135,,,,,,,,,,,,,,,,,0.00919682877510786,,0.003943580551072955,
