dataset,method,scope,seed_count,images,rows,groups,nmae_pct_fs_mean,nmae_pct_fs_sample_sd,acc_at_2_pct_mean,acc_at_2_pct_sample_sd,acc_at_5_pct_mean,acc_at_5_pct_sample_sd,coverage_pct_mean,coverage_pct_sample_sd,failures_mean,failures_sample_sd
syncg,shared_full,all_conditions,3,4000,24000,145,0.7406831818034855,0.022028431893608643,93.95555555555556,0.2739985975903655,98.89722222222223,0.04376653126830484,100.0,0.0,0.0,0.0
syncg,shared_full,clean,3,4000,4000,145,0.5943754074958534,0.024763403755960218,96.39166666666667,0.4064582799419045,99.45,0.025000000000005684,100.0,0.0,0.0,0.0
syncg,shared_full,blur_moderate,3,4000,4000,145,0.5937024102234544,0.028747112713228357,96.375,0.3881043674065032,99.40000000000002,0.06614378277661638,100.0,0.0,0.0,0.0
syncg,shared_full,blur_severe,3,4000,4000,145,0.6138011081496481,0.027861928322815557,96.03333333333335,0.31457643480294795,99.36666666666667,0.11547005383792679,100.0,0.0,0.0,0.0
syncg,shared_full,perspective_moderate,3,4000,4000,145,0.7384504876386807,0.015831263562920646,94.14999999999999,0.4589389937671422,99.23333333333335,0.10408329997330869,100.0,0.0,0.0,0.0
syncg,shared_full,perspective_severe,3,4000,4000,145,0.8787467073481025,0.017550546921229676,91.57499999999999,0.30413812651491007,98.29166666666667,0.10408329997330641,100.0,0.0,0.0,0.0
syncg,shared_full,combined_severe,3,4000,4000,145,1.0250229699651738,0.019423858082664402,89.20833333333333,0.4612031367340595,97.64166666666667,0.11273124382057698,100.0,0.0,0.0,0.0
syncg,shared_full,perspective_pair,3,4000,8000,145,0.8085985974933916,0.016332022074418973,92.86250000000001,0.3506690034776404,98.7625,0.07500000000000284,100.0,0.0,0.0,0.0
syncg,shared_full,projective_three,3,4000,12000,145,0.8807400549839857,0.017038859242074707,91.64444444444445,0.351616636778264,98.38888888888887,0.04276334532872252,100.0,0.0,0.0,0.0
syncg,original_geoprr,all_conditions,3,4000,24000,145,0.8726076663887842,0.04119550375343808,91.91666666666667,0.6625000000000014,98.48194444444444,0.233196884706975,100.0,0.0,0.0,0.0
syncg,original_geoprr,clean,3,4000,4000,145,0.6803549756196824,0.028883104238874854,95.00833333333333,0.7426024059571397,99.23333333333333,0.2126225137028903,100.0,0.0,0.0,0.0
syncg,original_geoprr,blur_moderate,3,4000,4000,145,0.6819986990337821,0.030851989296841006,95.01666666666665,0.6006940430313382,99.24166666666666,0.2126225137028903,100.0,0.0,0.0,0.0
syncg,original_geoprr,blur_severe,3,4000,4000,145,0.7049512423059899,0.028786229539632495,94.61666666666666,0.5269803917920749,99.22500000000001,0.16393596310754396,100.0,0.0,0.0,0.0
syncg,original_geoprr,perspective_moderate,3,4000,4000,145,0.8715777790626951,0.03571854205195565,91.89999999999999,0.7198090024444039,98.73333333333333,0.25041632002194314,100.0,0.0,0.0,0.0
syncg,original_geoprr,perspective_severe,3,4000,4000,145,1.0556432281720767,0.05640308151806096,88.70833333333333,0.870464435421307,97.75,0.3278719262151031,100.0,0.0,0.0,0.0
syncg,original_geoprr,combined_severe,3,4000,4000,145,1.2411200741384791,0.06947535843255387,86.25,0.7365459931328133,96.70833333333333,0.24022558842332345,100.0,0.0,0.0,0.0
syncg,original_geoprr,perspective_pair,3,4000,8000,145,0.963610503617386,0.04602486116877225,90.30416666666667,0.7229857075581385,98.24166666666667,0.28786209082359826,100.0,0.0,0.0,0.0
syncg,original_geoprr,projective_three,3,4000,12000,145,1.0561136937910838,0.053497144900781425,88.95277777777778,0.7176995141370692,97.73055555555557,0.2718676829581564,100.0,0.0,0.0,0.0
syncg,raw_full,all_conditions,3,4000,24000,145,1.6594963879841051,0.062678289008681,76.14166666666667,1.4586130684089338,93.95555555555556,0.5912312560649616,100.0,0.0,0.0,0.0
syncg,raw_full,clean,3,4000,4000,145,0.6176217156104666,0.02782551167676368,96.28333333333335,0.4389855730355308,99.47500000000001,0.02499999999999858,100.0,0.0,0.0,0.0
syncg,raw_full,blur_moderate,3,4000,4000,145,0.6171220319525542,0.032425449788562835,96.26666666666667,0.41558192132639077,99.41666666666667,0.06291528696058883,100.0,0.0,0.0,0.0
syncg,raw_full,blur_severe,3,4000,4000,145,0.637514297257325,0.031368095794036134,96.04166666666667,0.3625718319634487,99.38333333333333,0.10103629710818286,100.0,0.0,0.0,0.0
syncg,raw_full,perspective_moderate,3,4000,4000,145,1.44478799829397,0.02816429080907818,78.89166666666667,1.725241528984656,98.03333333333335,0.29615592739861174,100.0,0.0,0.0,0.0
syncg,raw_full,perspective_severe,3,4000,4000,145,3.212432652609549,0.1795589480239078,45.324999999999996,4.738736645984877,84.61666666666666,1.9276496915501335,100.0,0.0,0.0,0.0
syncg,raw_full,combined_severe,3,4000,4000,145,3.4274996321807656,0.1670836984188818,44.041666666666664,3.713601127387452,82.80833333333334,1.8695476279927492,100.0,0.0,0.0,0.0
syncg,raw_full,perspective_pair,3,4000,8000,145,2.3286103254517596,0.10285613343919157,62.10833333333334,3.1457643480294823,91.325,0.8682777493406127,100.0,0.0,0.0,0.0
syncg,raw_full,projective_three,3,4000,12000,145,2.694906761028095,0.12339298205877558,56.08611111111111,3.3194014409115873,88.4861111111111,1.1972866700879792,100.0,0.0,0.0,0.0
rf100,shared_full,all_conditions,3,151,906,35,3.2052538478979025,0.2535438839599393,55.99705665930832,0.555543372720434,85.13612950699043,0.2297644591022274,100.0,0.0,0.0,0.0
rf100,shared_full,clean,3,151,151,35,3.321807616063589,0.524456924330333,58.05739514348786,1.5294046865950368,84.32671081677704,3.0588093731900656,100.0,0.0,0.0,0.0
rf100,shared_full,blur_moderate,3,151,151,35,3.182953247318318,0.4743552443504572,59.161147902869764,1.666630118161316,85.6512141280353,1.9117558582437888,100.0,0.0,0.0,0.0
rf100,shared_full,blur_severe,3,151,151,35,2.9578690462521515,0.43761765650443246,61.36865342163355,2.6764582015413136,87.41721854304636,1.7521531861354864,100.0,0.0,0.0,0.0
rf100,shared_full,perspective_moderate,3,151,151,35,3.0738095234167386,0.25944946067956387,54.74613686534216,1.911755858243797,85.8719646799117,2.0232122273535715,100.0,0.0,0.0,0.0
rf100,shared_full,perspective_severe,3,151,151,35,3.2765645040432116,0.33629051347057254,52.31788079470198,0.6622516556291416,83.6644591611479,2.1288412275922624,100.0,0.0,0.0,0.0
rf100,shared_full,combined_severe,3,151,151,35,3.4185191502934074,0.08610758683191252,50.33112582781456,2.2941070298925488,83.88520971302428,2.128841227592265,100.0,0.0,0.0,0.0
rf100,shared_full,perspective_pair,3,151,302,35,3.175187013729975,0.24835845710979465,53.53200883002207,0.6892933773066667,84.7682119205298,1.4433440210399628,100.0,0.0,0.0,0.0
rf100,shared_full,projective_three,3,151,453,35,3.2562977259177863,0.19395545717932205,52.46504782928624,1.1328038497675241,84.4738778513613,0.8921527338471053,100.0,0.0,0.0,0.0
rf100,original_geoprr,all_conditions,3,151,906,35,5.686782224149122,1.366115278882194,44.849153789551146,3.2412265620657905,73.6571008094187,4.255297332340258,100.0,0.0,0.0,0.0
