family,method,scope,images,rows,groups,nmae_pct_fs,acc_at_2_pct,acc_at_5_pct,coverage_pct,failures
frozen_fold_aligned,geoprr,all_conditions,1395,8370,52,11.28661265965242,22.915173237753883,50.03584229390681,100.0,0
frozen_fold_aligned,geoprr,clean,1395,1395,52,11.971125328263074,22.22222222222222,49.749103942652326,100.0,0
frozen_fold_aligned,geoprr,blur_moderate,1395,1395,52,11.911941513449415,22.867383512544805,49.89247311827957,100.0,0
frozen_fold_aligned,geoprr,blur_severe,1395,1395,52,12.027071162641244,22.1505376344086,49.82078853046595,100.0,0
frozen_fold_aligned,geoprr,perspective_moderate,1395,1395,52,10.175971388067735,22.65232974910394,51.82795698924731,100.0,0
frozen_fold_aligned,geoprr,perspective_severe,1395,1395,52,11.194660336266983,22.58064516129032,48.10035842293907,100.0,0
frozen_fold_aligned,geoprr,combined_severe,1395,1395,52,10.438906229226065,25.017921146953405,50.82437275985663,100.0,0
frozen_fold_aligned,geoprr,perspective_pair,1395,2790,52,10.685315862167359,22.61648745519713,49.96415770609319,100.0,0
frozen_fold_aligned,geoprr,projective_three,1395,4185,52,10.603179317853595,23.416965352449225,50.250896057347674,100.0,0
adapted,geoprr,all_conditions,1395,8370,52,2.1257863900471916,62.867383512544805,88.05256869772998,100.0,0
adapted,geoprr,clean,1395,1395,52,2.1287529160201566,63.584229390681,88.45878136200717,100.0,0
adapted,geoprr,blur_moderate,1395,1395,52,2.1120687444909994,63.584229390681,88.24372759856631,100.0,0
adapted,geoprr,blur_severe,1395,1395,52,2.0906992686263224,63.87096774193548,87.95698924731182,100.0,0
adapted,geoprr,perspective_moderate,1395,1395,52,2.050919594766251,63.799283154121866,89.6774193548387,100.0,0
adapted,geoprr,perspective_severe,1395,1395,52,2.198527023029338,61.21863799283154,87.09677419354838,100.0,0
adapted,geoprr,combined_severe,1395,1395,52,2.1737507933500826,61.146953405017925,86.88172043010752,100.0,0
adapted,geoprr,perspective_pair,1395,2790,52,2.1247233088977944,62.5089605734767,88.38709677419355,100.0,0
adapted,geoprr,projective_three,1395,4185,52,2.1410658037152235,62.054958183990436,87.8853046594982,100.0,0
frozen_fold_aligned,efficientnet_b0,all_conditions,1395,8370,52,13.313572645996254,16.009557945041816,38.853046594982075,100.0,0
frozen_fold_aligned,efficientnet_b0,clean,1395,1395,52,11.951511218073014,22.22222222222222,50.03584229390681,100.0,0
frozen_fold_aligned,efficientnet_b0,blur_moderate,1395,1395,52,11.894404567362185,23.08243727598566,50.10752688172043,100.0,0
frozen_fold_aligned,efficientnet_b0,blur_severe,1395,1395,52,12.015592446169297,21.935483870967744,49.89247311827957,100.0,0
frozen_fold_aligned,efficientnet_b0,perspective_moderate,1395,1395,52,11.185688076474511,14.336917562724013,43.727598566308245,100.0,0
frozen_fold_aligned,efficientnet_b0,perspective_severe,1395,1395,52,16.574160122525665,7.885304659498208,19.78494623655914,100.0,0
frozen_fold_aligned,efficientnet_b0,combined_severe,1395,1395,52,16.260079445372845,6.594982078853047,19.56989247311828,100.0,0
frozen_fold_aligned,efficientnet_b0,perspective_pair,1395,2790,52,13.879924099500087,11.11111111111111,31.756272401433694,100.0,0
frozen_fold_aligned,efficientnet_b0,projective_three,1395,4185,52,14.673309214791006,9.60573476702509,27.694145758661886,100.0,0
adapted,efficientnet_b0,all_conditions,1395,8370,52,2.6342413192955365,58.21983273596176,82.8673835125448,100.0,0
adapted,efficientnet_b0,clean,1395,1395,52,2.345507505770797,61.79211469534051,85.94982078853046,100.0,0
adapted,efficientnet_b0,blur_moderate,1395,1395,52,2.3284841270519245,61.72043010752688,85.73476702508961,100.0,0
adapted,efficientnet_b0,blur_severe,1395,1395,52,2.3263913710971305,61.79211469534051,84.87455197132616,100.0,0
adapted,efficientnet_b0,perspective_moderate,1395,1395,52,2.3770362415927946,61.648745519713266,85.66308243727599,100.0,0
adapted,efficientnet_b0,perspective_severe,1395,1395,52,3.269817929835556,50.03584229390681,77.34767025089606,100.0,0
adapted,efficientnet_b0,combined_severe,1395,1395,52,3.158210740425017,52.32974910394266,77.63440860215054,100.0,0
adapted,efficientnet_b0,perspective_pair,1395,2790,52,2.823427085714176,55.842293906810035,81.50537634408602,100.0,0
adapted,efficientnet_b0,projective_three,1395,4185,52,2.9350216372844558,54.671445639187574,80.21505376344086,100.0,0
frozen_fold_aligned,resnet18,all_conditions,1395,8370,52,21.779702074902584,10.203106332138589,23.835125448028673,100.0,0
frozen_fold_aligned,resnet18,clean,1395,1395,52,16.760708857667737,15.985663082437277,37.132616487455195,100.0,0
frozen_fold_aligned,resnet18,blur_moderate,1395,1395,52,16.782049910567494,15.985663082437277,36.91756272401434,100.0,0
frozen_fold_aligned,resnet18,blur_severe,1395,1395,52,17.239315600244236,16.057347670250895,35.12544802867383,100.0,0
frozen_fold_aligned,resnet18,perspective_moderate,1395,1395,52,21.481509808521974,8.960573476702509,22.293906810035843,100.0,0
frozen_fold_aligned,resnet18,perspective_severe,1395,1395,52,28.44956937555059,2.293906810035842,5.878136200716845,100.0,0
frozen_fold_aligned,resnet18,combined_severe,1395,1395,52,29.96505889686347,1.935483870967742,5.663082437275985,100.0,0
frozen_fold_aligned,resnet18,perspective_pair,1395,2790,52,24.965539592036283,5.627240143369176,14.086021505376344,100.0,0
frozen_fold_aligned,resnet18,projective_three,1395,4185,52,26.632046026978678,4.396654719235364,11.27837514934289,100.0,0
adapted,resnet18,all_conditions,1395,8370,52,2.9908909837201723,52.473118279569896,81.66069295101553,100.0,0
adapted,resnet18,clean,1395,1395,52,2.4672859735986217,58.27956989247311,87.74193548387098,100.0,0
adapted,resnet18,blur_moderate,1395,1395,52,2.455627766627239,58.422939068100355,88.02867383512545,100.0,0
adapted,resnet18,blur_severe,1395,1395,52,2.4367737483144847,59.49820788530465,87.81362007168458,100.0,0
adapted,resnet18,perspective_moderate,1395,1395,52,2.931361122692421,52.25806451612903,81.4336917562724,100.0,0
adapted,resnet18,perspective_severe,1395,1395,52,3.885232485721166,42.795698924731184,72.11469534050178,100.0,0
adapted,resnet18,combined_severe,1395,1395,52,3.769064805367099,43.584229390681,72.831541218638,100.0,0
adapted,resnet18,perspective_pair,1395,2790,52,3.408296804206793,47.52688172043011,76.77419354838709,100.0,0
adapted,resnet18,projective_three,1395,4185,52,3.528552804593563,46.2126642771804,75.4599761051374,100.0,0
frozen_fold_aligned,mobilenet_v3_large,all_conditions,1395,8370,52,15.793561586819372,13.667861409796894,29.868578255675033,100.0,0
frozen_fold_aligned,mobilenet_v3_large,clean,1395,1395,52,14.563606626320647,18.781362007168457,39.6415770609319,100.0,0
frozen_fold_aligned,mobilenet_v3_large,blur_moderate,1395,1395,52,14.477822761189197,19.35483870967742,39.35483870967742,100.0,0
frozen_fold_aligned,mobilenet_v3_large,blur_severe,1395,1395,52,14.327849368421338,19.2831541218638,40.57347670250896,100.0,0
frozen_fold_aligned,mobilenet_v3_large,perspective_moderate,1395,1395,52,14.582293674776924,14.336917562724013,32.903225806451616,100.0,0
frozen_fold_aligned,mobilenet_v3_large,perspective_severe,1395,1395,52,17.68831368303694,5.591397849462366,13.620071684587815,100.0,0
frozen_fold_aligned,mobilenet_v3_large,combined_severe,1395,1395,52,19.121483407171187,4.659498207885305,13.118279569892474,100.0,0
frozen_fold_aligned,mobilenet_v3_large,perspective_pair,1395,2790,52,16.135303678906933,9.96415770609319,23.261648745519715,100.0,0
frozen_fold_aligned,mobilenet_v3_large,projective_three,1395,4185,52,17.13069692166168,8.195937873357229,19.8805256869773,100.0,0
adapted,mobilenet_v3_large,all_conditions,1395,8370,52,2.7234449056428502,55.209080047789726,82.04301075268818,100.0,0
adapted,mobilenet_v3_large,clean,1395,1395,52,2.477219838479074,58.422939068100355,83.44086021505376,100.0,0
adapted,mobilenet_v3_large,blur_moderate,1395,1395,52,2.46765631948945,58.56630824372759,83.87096774193549,100.0,0
adapted,mobilenet_v3_large,blur_severe,1395,1395,52,2.4868732246407728,57.77777777777777,84.08602150537634,100.0,0
adapted,mobilenet_v3_large,perspective_moderate,1395,1395,52,2.508098363361464,59.06810035842294,84.6594982078853,100.0,0
adapted,mobilenet_v3_large,perspective_severe,1395,1395,52,3.2629209390372003,47.67025089605735,77.63440860215054,100.0,0
adapted,mobilenet_v3_large,combined_severe,1395,1395,52,3.1379007488491393,49.749103942652326,78.5663082437276,100.0,0
adapted,mobilenet_v3_large,perspective_pair,1395,2790,52,2.8855096511993326,53.36917562724014,81.14695340501792,100.0,0
adapted,mobilenet_v3_large,projective_three,1395,4185,52,2.9696400170826016,52.162485065710875,80.28673835125448,100.0,0
