scope,candidate_old_variant,reference_new_full,comparison_type,old_variant_nmae_pct_fs_mean,old_variant_nmae_pct_fs_sample_sd,new_full_nmae_pct_fs_mean,new_full_nmae_pct_fs_sample_sd,candidate_minus_reference_pct_fs,ci95_low_pct_fs,ci95_high_pct_fs,paired_seed_delta_sample_sd_pct_fs,original_matched_penalty_pct_fs,original_matched_ci95_low_pct_fs,original_matched_ci95_high_pct_fs,rows_per_seed,groups,source_seed_count,bootstrap_replicates,bootstrap_seed
all_conditions,no_geometry_fusion,shared_full,cross_training_protocol_not_matched_ablation,1.3452178036630398,0.03266486056151053,0.7406831818034864,0.022028431893609462,0.6045346218595491,0.5741905292280796,0.6367088212898108,0.018433299691612143,0.47261013727425,0.44934458351280365,0.49658877701404974,24000,145,3,20000,20260907
all_conditions,fixed_routing,shared_full,cross_training_protocol_not_matched_ablation,1.010411677284775,0.029886061777471204,0.7406831818034864,0.022028431893609462,0.26972849548129296,0.24912963895139584,0.29200981242976204,0.01735984938812035,0.13780401089599423,0.1275182152940584,0.14855037895069753,24000,145,3,20000,20260907
all_conditions,no_relational_transport,shared_full,cross_training_protocol_not_matched_ablation,0.9209714348583642,0.03843969817878998,0.7406831818034864,0.022028431893609462,0.1802882530548826,0.1642995131878497,0.1977303191226007,0.02890393042951092,0.04836376846958385,0.04460058838803056,0.051953426952540224,24000,145,3,20000,20260907
clean,no_geometry_fusion,shared_full,cross_training_protocol_not_matched_ablation,0.6792956945192167,0.02945200978405126,0.5943754074958519,0.024763403755960367,0.08492028702336446,0.06817957281389878,0.10305728556319635,0.01227070382499561,-0.0010592811004645625,-0.002077391184025024,-6.243662735504327e-06,4000,145,3,20000,20260907
clean,fixed_routing,shared_full,cross_training_protocol_not_matched_ablation,0.6972197515514943,0.02695511717805529,0.5943754074958519,0.024763403755960367,0.10284434405564236,0.08623681744373866,0.12097595437080126,0.005538828359415763,0.016864775931813274,0.014979830257357229,0.0187653097429523,4000,145,3,20000,20260907
clean,no_relational_transport,shared_full,cross_training_protocol_not_matched_ablation,0.6819036407112097,0.028851153379420322,0.5943754074958519,0.024763403755960367,0.08752823321535773,0.07087364979734152,0.10567894408834429,0.012020525934157457,0.00154866509152864,0.0005532907306252956,0.0025527951500381924,4000,145,3,20000,20260907
blur_moderate,no_geometry_fusion,shared_full,cross_training_protocol_not_matched_ablation,0.6814552207537155,0.03083646842297593,0.5937024102234534,0.02874711271322834,0.0877528105302627,0.0709901533813773,0.10630119202802181,0.018271134565185806,-0.0005434782800650163,-0.0015449328386903777,0.0004981294500480788,4000,145,3,20000,20260907
blur_moderate,fixed_routing,shared_full,cross_training_protocol_not_matched_ablation,0.6983418979385781,0.02977837968902974,0.5937024102234534,0.02874711271322834,0.10463948771512555,0.08797478708567662,0.12309462574071907,0.012130198128089605,0.016343198904797927,0.014502535302736454,0.018185106379104678,4000,145,3,20000,20260907
blur_moderate,no_relational_transport,shared_full,cross_training_protocol_not_matched_ablation,0.6838256221432086,0.030860974951178163,0.5937024102234534,0.02874711271322834,0.09012321191975599,0.0735040590828315,0.10861072472410761,0.018348754580507384,0.001826923109428391,0.0008752698031032477,0.002759597413451735,4000,145,3,20000,20260907
blur_severe,no_geometry_fusion,shared_full,cross_training_protocol_not_matched_ablation,0.7044527569373814,0.028903293647011052,0.6138011081496467,0.027861928322815106,0.09065164878773496,0.07347361833385871,0.10911236101442602,0.019529521086804325,-0.0004984853686068429,-0.0014975217475430972,0.000505007071181365,4000,145,3,20000,20260907
blur_severe,fixed_routing,shared_full,cross_training_protocol_not_matched_ablation,0.7212489451040388,0.02848181375290734,0.6138011081496467,0.027861928322815106,0.10744783695439222,0.09029552714827829,0.12589084059476333,0.013378410073378578,0.016297702798050324,0.014412044937087478,0.018199004997410225,4000,145,3,20000,20260907
blur_severe,no_relational_transport,shared_full,cross_training_protocol_not_matched_ablation,0.7071110110968758,0.028692460473151854,0.6138011081496467,0.027861928322815106,0.09330990294722945,0.0762565908816537,0.11179907919338541,0.0191724687981818,0.002159768790887563,0.0012464442727374843,0.003068061651047592,4000,145,3,20000,20260907
perspective_moderate,no_geometry_fusion,shared_full,cross_training_protocol_not_matched_ablation,1.2689445182084782,0.04228787600228754,0.7384504876386795,0.015831263562921704,0.5304940305697979,0.5019295673080951,0.5608164286063853,0.035552466793789705,0.39736673914578335,0.3787590840658909,0.4164202838333182,4000,145,3,20000,20260907
perspective_moderate,fixed_routing,shared_full,cross_training_protocol_not_matched_ablation,0.9249452530300183,0.03636238567915106,0.7384504876386795,0.015831263562921704,0.18649476539133786,0.16382651034124146,0.21184438825056312,0.023134474894642845,0.05336747396732337,0.04663042098814039,0.06074159188438727,4000,145,3,20000,20260907
perspective_moderate,no_relational_transport,shared_full,cross_training_protocol_not_matched_ablation,0.9245834109610854,0.03733408222368424,0.7384504876386795,0.015831263562921704,0.18613292332240575,0.16428242927010797,0.21033569191227455,0.024696163272257696,0.05300563189839132,0.04784142598371616,0.058102799340241894,4000,145,3,20000,20260907
perspective_severe,no_geometry_fusion,shared_full,cross_training_protocol_not_matched_ablation,2.280197487395144,0.04609382889370058,0.8787467073481023,0.017550546921228642,1.4014507800470453,1.3256589913812673,1.4798929071999838,0.028714565623139475,1.2245542592230712,1.1575274597012972,1.2939911949011154,4000,145,3,20000,20260907
perspective_severe,fixed_routing,shared_full,cross_training_protocol_not_matched_ablation,1.4015064113697182,0.026166751560817995,0.8787467073481023,0.017550546921228642,0.522759704021617,0.4792126397522826,0.5679103023090154,0.014391349137209719,0.34586318319764237,0.31505924786946327,0.37788635276750265,4000,145,3,20000,20260907
