model_protocol,method,scope,seed,images,rows,groups,nmae_pct_fs,acc_at_5_pct
official_syncg_fulltrain_20260908,no_geometry_fusion,perspective_moderate,20262020,4000,4000,145,1.2396971402100811,98.475
official_syncg_fulltrain_20260908,no_geometry_fusion,perspective_moderate,20262021,4000,4000,145,1.3174312787894014,97.8
official_syncg_fulltrain_20260908,no_geometry_fusion,perspective_moderate,20262022,4000,4000,145,1.2497051356259536,98.6
official_syncg_fulltrain_20260908,fixed_routing,perspective_moderate,20262020,4000,4000,145,0.9192222366103753,98.85000000000001
official_syncg_fulltrain_20260908,fixed_routing,perspective_moderate,20262021,4000,4000,145,0.9638297872728472,98.425
official_syncg_fulltrain_20260908,fixed_routing,perspective_moderate,20262022,4000,4000,145,0.8917837352068331,98.875
official_syncg_fulltrain_20260908,no_relational_transport,perspective_moderate,20262020,4000,4000,145,0.9162908986328695,98.75
official_syncg_fulltrain_20260908,no_relational_transport,perspective_moderate,20262021,4000,4000,145,0.9653665252730983,98.3
official_syncg_fulltrain_20260908,no_relational_transport,perspective_moderate,20262022,4000,4000,145,0.8920928089772915,98.925
shared_full_20260911,shared_full,perspective_severe,20262020,4000,4000,145,0.8922225676919188,98.175
shared_full_20260911,shared_full,perspective_severe,20262021,4000,4000,145,0.8851168887194241,98.375
shared_full_20260911,shared_full,perspective_severe,20262022,4000,4000,145,0.8589006656329645,98.32499999999999
official_syncg_fulltrain_20260908,no_geometry_fusion,perspective_severe,20262020,4000,4000,145,2.3110049408916122,91.425
official_syncg_fulltrain_20260908,no_geometry_fusion,perspective_severe,20262021,4000,4000,145,2.3023812142568527,91.875
official_syncg_fulltrain_20260908,no_geometry_fusion,perspective_severe,20262022,4000,4000,145,2.2272063070369787,92.4
official_syncg_fulltrain_20260908,fixed_routing,perspective_severe,20262020,4000,4000,145,1.4070002506028787,96.075
official_syncg_fulltrain_20260908,fixed_routing,perspective_severe,20262021,4000,4000,145,1.4244900608316844,95.675
official_syncg_fulltrain_20260908,fixed_routing,perspective_severe,20262022,4000,4000,145,1.373028922674595,96.275
official_syncg_fulltrain_20260908,no_relational_transport,perspective_severe,20262020,4000,4000,145,1.148984521677942,97.75
official_syncg_fulltrain_20260908,no_relational_transport,perspective_severe,20262021,4000,4000,145,1.2214199608808187,97.125
official_syncg_fulltrain_20260908,no_relational_transport,perspective_severe,20262022,4000,4000,145,1.1183791283333693,97.925
shared_full_20260911,shared_full,combined_severe,20262020,4000,4000,145,1.0430082424884044,97.65
