condition,label,base,polar,relational,seed
clean,Clean,0.4106179177761078,0.4228009879589081,0.16658055782318115,20262020
blur_moderate,Blur moderate,0.4092448651790619,0.42457619309425354,0.16617882251739502,20262020
blur_severe,Blur severe,0.40787193179130554,0.426096111536026,0.16603145003318787,20262020
perspective_moderate,Perspective moderate,0.4728127717971802,0.2074955850839615,0.3196912705898285,20262020
perspective_severe,Perspective severe,0.4956904351711273,0.1290164291858673,0.3752935826778412,20262020
combined_severe,Perspective severe + blur,0.48159462213516235,0.12996038794517517,0.3884444534778595,20262020
