method,parameters,p50_ms,p95_ms,peak_allocated_mib
GeoPRR-Net,4885096,47.89515,62.086515,43.373046875
Raw ResNet-18,11177025,2.72515,3.83997,78.18896484375
Raw EfficientNet-B0,4008829,5.13025,6.356,37.404296875
Raw MobileNetV3-Large,4203313,4.543950000000001,5.903675,56.39697265625
