method,nmae_mean,nmae_sd,acc2_mean,acc2_sd
GeoPRR-Net,0.008726076663887842,0.00041195503753438075,0.9191666666666667,0.0066250000000000146
Raw ResNet-18,0.024913783675129565,0.0005643429379941222,0.7053472222222222,0.0012912185602640689
Raw EfficientNet-B0,0.016594963879841048,0.000626782890086807,0.7614166666666666,0.014586130684089338
Raw MobileNetV3-Large,0.023339591020215628,0.0018636474657957747,0.7070416666666667,0.010584727598447353
