variant,seed_nmae_mean,seed_nmae_sd
full,0.008726076663887842,0.00041195503753438075
fixed_routing,0.010104116772847784,0.0002988606177746602
no_geometry_fusion,0.013452178036630347,0.00032664860561508295
no_geometry_fixed_routing,0.01473836117887207,0.00027857717760125023
