dataset,method,nmae_mean_percent_fs,nmae_sd_percent_fs,relative_reduction_percent,relative_ci95_low_percent,relative_ci95_high_percent
RF100-VL,GeoPRR-Net,5.686782224149123,1.3661152788821929,,,
RF100-VL,Raw ResNet-18,7.850954565504902,0.5142153471239599,27.56572240100079,7.449283369991161,49.47772231534617
RF100-VL,Raw EfficientNet-B0,4.6057210443837855,0.5570178090725282,-23.47213757297751,-74.79315043782898,18.808098309590292
RF100-VL,Raw MobileNetV3-Large,5.94177331288839,1.074259851351895,4.291498098491267,-42.32965327030037,41.092517849566335
Industrial-1395,GeoPRR-Net,10.85073272807019,0.8089502260608922,,,
Industrial-1395,Raw ResNet-18,22.020144475849666,0.9946623499148637,50.72360792196163,42.92170426202052,57.43633550079509
Industrial-1395,Raw EfficientNet-B0,13.691356237660733,2.4021207959832553,20.74756846788382,13.587473183110488,27.65640425753763
Industrial-1395,Raw MobileNetV3-Large,16.437110517420262,4.679174932974803,33.98637359911621,26.750161718770347,40.899442328403985
