cohort,cohort_label,method,nmae_mean,nmae_sd,acc2_mean,acc2_sd,n_images,n_conditions
industrial_1395,Industrial-1395,GeoPRR-Net,0.021257863900471914,0.0,0.628673835125448,0.0,1395,6
industrial_1395,Industrial-1395,Raw ResNet-18,0.2202014447584967,0.00994662349914865,0.10665073675826364,0.017039371625228547,1395,6
industrial_1395,Industrial-1395,Raw EfficientNet-B0,0.13691356237660735,0.02402120795983254,0.17005177220230983,0.01338236752476771,1395,6
industrial_1395,Industrial-1395,Raw MobileNetV3-Large,0.16437110517420264,0.04679174932974801,0.14994026284348866,0.024475618690182808,1395,6
