variant,penalty,penalty_ci_low,penalty_ci_high
no_geometry_fusion,0.0047261013727425,0.004493445835128037,0.004965887770140498
fixed_routing,0.0013780401089599423,0.0012751821529405842,0.0014855037895069754
no_relational_transport,0.0004836376846958385,0.0004460058838803056,0.0005195342695254022
no_polar_evidence,1.0295203787154261e-05,-2.5749600330820557e-05,4.569109894180504e-05
