method,nmae_mean,nmae_sd,acc2_mean,acc2_sd
GeoPRR-Net,0.010013238319214338,0.00038215079311332512,0.91113963771216666,0.0079481114364663655
Raw ResNet-18,0.026261738314970296,0.001665310983091711,0.6980815860790187,0.007362112100934561
Raw EfficientNet-B0,0.020530493475352008,0.00029369699971930715,0.7343460276708029,0.0015027319573317067
Raw MobileNetV3-Large,0.028064176210214623,0.0027053160196585328,0.6762587362715733,0.016552190002441125
