method,nmae_mean,nmae_sd,parameters,p50_ms,p95_ms,throughput_images_per_second,peak_allocated_mib
GeoPRR-Net,0.010013238319214338,0.00038215079311332512,4885096,37.97205,40.51482,26.26445697486667,43.373046875
Raw ResNet-18,0.026261738314970296,0.001665310983091711,11177025,3.13675,4.55231,302.13141628935495,61.439453125
Raw EfficientNet-B0,0.020530493475352008,0.00029369699971930715,4008829,6.0516,11.064765,150.78284947619554,37.404296875
Raw MobileNetV3-Large,0.028064176210214623,0.0027053160196585328,4203313,4.65935,6.365735,204.65286474103328,35.080078125
