scope,statistic,base,polar,relational,seed
All conditions,mean_routing_weight,0.43636976249739573,0.2855532474850604,0.27807698908615036,20262020
Combined severe,mean_routing_weight,0.4749704270781435,0.10700048294822605,0.4180290875681443,20262020
All conditions,oracle_best_fraction,0.381471972614463,0.3801882755669662,0.2383397518185708,20262020
Combined severe,oracle_best_fraction,0.37163029525032093,0.1367137355584082,0.49165596919127086,20262020
