condition,label,geo_nmae_mean,geo_nmae_sd,baseline_nmae_mean,baseline_nmae_sd,relative_reduction_percent,delta_nmae,ci_low,ci_high,rows,groups,bootstrap_replicates
clean,Clean,0.007828385493927026,0.00020392656429856553,0.008099387948644446,0.000322739075434405,3.34596214474176,-0.00027100245471741813,-0.0003323440694485446,-0.0002098090234522183,1558,14,20000
blur_moderate,Blur moderate,0.007784649422394104,0.00016330709338075675,0.008064291611385489,0.00033821735319219547,3.467659683791373,-0.0002796421889913838,-0.0003364388461983597,-0.00021621877112097806,1558,14,20000
blur_severe,Blur severe,0.007997844967143472,0.0002944662165264523,0.008281850217260434,0.0004715530721063261,3.4292488111540465,-0.00028400525011696315,-0.0003413541045212505,-0.00023112574248994143,1558,14,20000
perspective_moderate,Perspective moderate,0.009915837468908012,0.0004897068973885118,0.016785173802331955,0.0005171575752359964,40.925023561386006,-0.006869336333423946,-0.0073933739852447755,-0.006291373084816098,1558,14,20000
perspective_severe,Perspective severe,0.012416269114105462,0.0006092289297894533,0.03924384816176515,0.0014445690317335042,68.36123444641574,-0.02682757904765968,-0.03026240693632614,-0.023068246860539383,1558,14,20000
combined_severe,Perspective severe + blur,0.014136443448807962,0.0006937576839202125,0.04270840911072459,0.002012101713657195,66.90009358073202,-0.02857196566191662,-0.03234344044233859,-0.024457980372807015,1558,14,20000
