cohort,cohort_label,method,nmae_mean,nmae_sd,acc2_mean,acc2_sd,n_images,n_conditions
industrial_1395,Industrial-1395,GeoPRR-Net,0.1236641670925754,0.018084363453244743,0.1911987,0.0249133,1395,6
industrial_1395,Industrial-1395,Raw ResNet-18,0.23577127063981984,0.024504125735627262,0.1094783,0.0111594,1395,6
industrial_1395,Industrial-1395,Raw EfficientNet-B0,0.1525498884980637,0.023429783465891734,0.1385902,0.0184904,1395,6
industrial_1395,Industrial-1395,Raw MobileNetV3-Large,0.18756935752213164,0.028914782625527023,0.1148546,0.0283112,1395,6
