comparator,label,delta,ci_low,ci_high,clusters,replicates
Raw ResNet-18,Raw ResNet-18,-0.01624849999575596,-0.018467198455168143,-0.014105216018674524,14,20000
Raw EfficientNet-B0,Raw EfficientNet-B0,-0.01051725515613767,-0.011747698242956912,-0.0091118456326586984,14,20000
Raw MobileNetV3-Large,Raw MobileNetV3-Large,-0.018050937891000284,-0.020015862754414901,-0.01627840135234607,14,20000
