condition,label,nmae_mean,nmae_sd
clean,Clean,0.007828385493927026,0.00020392656429856602
blur_moderate,Blur mod.,0.007784649422394104,0.00016330709338075675
blur_severe,Blur severe,0.007997844967143472,0.0002944662165264526
perspective_moderate,Perspective mod.,0.009915837468908012,0.0004897068973885124
perspective_severe,Perspective severe,0.012416269114105462,0.0006092289297894523
combined_severe,Combined severe,0.014136443448807962,0.0006937576839202125
