condition,label,geo_nmae_mean,geo_nmae_sd,baseline_nmae_mean,baseline_nmae_sd,relative_reduction_percent,delta_nmae,ci_low,ci_high,rows,groups,bootstrap_replicates
clean,Clean,0.02262333898525943,0.0,0.12304646084093207,0.021713826009098817,81.61398643191724,-0.10042312185567263,-0.1426977870341945,-0.06594208746617314,1395,52,20000
blur_moderate,Blur moderate,0.02225094479218749,0.0,0.12259737199571195,0.02182567553798939,81.85039007772062,-0.10034642720352448,-0.14169766908747666,-0.0660896203573523,1395,52,20000
blur_severe,Blur severe,0.02208849990700443,0.0,0.12691470162564186,0.022991348943351045,82.59579101233008,-0.10482620171863742,-0.14656150661279438,-0.06983853196089705,1395,52,20000
perspective_moderate,Perspective moderate,0.0228255197370412,0.0,0.13053814794877905,0.013507832933810226,82.51429172566662,-0.10771262821173783,-0.14245926159619857,-0.07712931147981174,1395,52,20000
perspective_severe,Perspective severe,0.025464719901037682,0.0,0.20397517037999693,0.038195263253580976,87.51577466335829,-0.17851045047895925,-0.21245254091587423,-0.14519192152519578,1395,52,20000
combined_severe,Perspective severe + blur,0.024318981061007834,0.0,0.20822747819732024,0.0383978719442594,88.32095491356682,-0.1839084971363124,-0.2166842307539583,-0.15106418784478554,1395,52,20000
