variant,label,active_parameters,nmae_mean,nmae_sd,acc2_mean,acc2_sd,worst_nmae,penalty,penalty_ci_low,penalty_ci_high
full,Full,4885096,0.010013238319214338,0.00038215079311332512,0.91113963771216666,0.0079481114364663655,0.014136443448807962,0,0,0
no_geometry_fusion,Without geometry-aware fusion,4885096,0.015001190177240518,0.00037537425433208305,0.80270289545000717,0.0092965513235158826,0.027500543660201725,0.0049879518580261788,0.004404224284501608,0.0054861935064014992
no_polar_evidence,Without polar evidence,4779152,0.010089218395815289,0.00041445636684260285,0.91188846098987308,0.0069247736488097745,0.013951017539189143,0.000075980076600949854,0.000034052489020737592,0.0001152693130009759
no_relational_transport,Without relational transport,4442984,0.01078913259416199,0.00027143554568503057,0.89569961489088579,0.0060674586702983363,0.016023924662710045,0.00077589427494765032,0.00063155477844363637,0.0009309444559247969
fixed_routing,Fixed routing,4819694,0.011725667353830654,0.00030822562888419388,0.88193552988161461,0.0038515863641400195,0.018919320659093183,0.0017124290346163151,0.0014240691577044752,0.0020008117943884299
