comparator,label,delta,ci_low,ci_high,relative_reduction_percent,relative_ci_low,relative_ci_high,clusters,replicates
Raw ResNet-18,Raw ResNet-18,-0.21250926990923016,-0.26217123024365674,-0.16385898084129794,90.13365764731944,86.16936635328781,92.90919247502737,52,20000
Raw EfficientNet-B0,Raw EfficientNet-B0,-0.129287887767474,-0.16540016911141886,-0.09776723438429076,84.75121748064409,78.75656179837323,89.11723059974452,52,20000
Raw MobileNetV3-Large,Raw MobileNetV3-Large,-0.16430735679154193,-0.19960964858214775,-0.13014691920759336,87.5981871250772,83.21614422817336,90.9124564961009,52,20000
