condition,label,base,polar,relational,oracle_base,oracle_polar,oracle_relational,routing_gain,seed
clean,Clean,0.4010415580649699,0.4358088303696895,0.1631496101151554,0.4050064184852375,0.5949935815147626,0.0,0.00020728487647240015,20262020
blur_moderate,Blur moderate,0.4009885698035646,0.43585167406306186,0.16315975714360145,0.39473684210526316,0.6052631578947368,0.0,0.0002331795973107894,20262020
blur_severe,Blur severe,0.3987926060766632,0.4388327475288101,0.16237464542136038,0.3902439024390244,0.6097560975609756,0.0,0.00023696042997200725,20262020
perspective_moderate,Perspective moderate,0.46218980528624665,0.1866353215549836,0.35117487170863826,0.35365853658536583,0.20154043645699615,0.444801026957638,0.0006403727795039841,20262020
perspective_severe,Perspective severe,0.48023560867478665,0.10919042844559115,0.41057396256000245,0.3735558408215661,0.13286264441591783,0.49358151476251605,0.004033856739800546,20262020
combined_severe,Perspective severe + blur,0.4749704270781435,0.10700048294822605,0.4180290875681443,0.37163029525032093,0.1367137355584082,0.49165596919127086,0.004305941396230473,20262020
