section,source_table,cohort,method,candidate,reference,seed,aggregation,scope,condition,angle_degrees,metric,statistic,value,unit,sample_sd,ci95_low,ci95_high,images,rows,groups,source_seeds,ensemble_members,notes
main_results,syncg/summary.csv,syncg,fixed_prior,,,,equal_ensemble,all_conditions,,,acc_at_1_pct,value,78.52916666666667,percent_full_scale_or_percent,,,,4000,24000,145,3,3,{}
main_results,syncg/summary.csv,syncg,fixed_prior,,,,equal_ensemble,all_conditions,,,acc_at_2_pct,value,93.07083333333334,percent_full_scale_or_percent,,,,4000,24000,145,3,3,{}
main_results,syncg/summary.csv,syncg,fixed_prior,,,,equal_ensemble,all_conditions,,,acc_at_5_pct,value,98.58333333333333,percent_full_scale_or_percent,,,,4000,24000,145,3,3,{}
main_results,syncg/summary.csv,syncg,fixed_prior,,,,equal_ensemble,all_conditions,,,coverage_pct,value,100.0,percent_full_scale_or_percent,,,,4000,24000,145,3,3,{}
main_results,syncg/summary.csv,syncg,full,,,,seed_mean,all_conditions,,,nmae_pct_fs,value,0.7403240998553681,percent_full_scale_or_percent,0.02201024194363677,,,4000,24000,145,3,0,{}
main_results,syncg/summary.csv,syncg,full,,,,seed_mean,all_conditions,,,rmse_pct_fs,value,1.7600459862706366,percent_full_scale_or_percent,0.04849102546532181,,,4000,24000,145,3,0,{}
main_results,syncg/summary.csv,syncg,full,,,,seed_mean,all_conditions,,,acc_at_1_pct,value,81.38472222222221,percent_full_scale_or_percent,0.775653099962533,,,4000,24000,145,3,0,{}
main_results,syncg/summary.csv,syncg,full,,,,seed_mean,all_conditions,,,acc_at_2_pct,value,93.90416666666668,percent_full_scale_or_percent,0.2905932629027081,,,4000,24000,145,3,0,{}
main_results,syncg/summary.csv,syncg,full,,,,seed_mean,all_conditions,,,acc_at_5_pct,value,98.89722222222223,percent_full_scale_or_percent,0.04376653126830484,,,4000,24000,145,3,0,{}
main_results,syncg/summary.csv,syncg,full,,,,seed_mean,all_conditions,,,coverage_pct,value,100.0,percent_full_scale_or_percent,0.0,,,4000,24000,145,3,0,{}
main_results,syncg/summary.csv,syncg,full,,,,equal_ensemble,all_conditions,,,nmae_pct_fs,value,0.6382856289681513,percent_full_scale_or_percent,,,,4000,24000,145,3,3,{}
main_results,syncg/summary.csv,syncg,full,,,,equal_ensemble,all_conditions,,,rmse_pct_fs,value,1.6096759908558138,percent_full_scale_or_percent,,,,4000,24000,145,3,3,{}
main_results,syncg/summary.csv,syncg,full,,,,equal_ensemble,all_conditions,,,acc_at_1_pct,value,85.36666666666667,percent_full_scale_or_percent,,,,4000,24000,145,3,3,{}
main_results,syncg/summary.csv,syncg,full,,,,equal_ensemble,all_conditions,,,acc_at_2_pct,value,95.44166666666666,percent_full_scale_or_percent,,,,4000,24000,145,3,3,{}
main_results,syncg/summary.csv,syncg,full,,,,equal_ensemble,all_conditions,,,acc_at_5_pct,value,99.02083333333334,percent_full_scale_or_percent,,,,4000,24000,145,3,3,{}
main_results,syncg/summary.csv,syncg,full,,,,equal_ensemble,all_conditions,,,coverage_pct,value,100.0,percent_full_scale_or_percent,,,,4000,24000,145,3,3,{}
main_results,syncg/summary.csv,syncg,linear_gate,,,,seed_mean,all_conditions,,,nmae_pct_fs,value,0.7409502462818637,percent_full_scale_or_percent,0.022055205788464472,,,4000,24000,145,3,0,{}
main_results,syncg/summary.csv,syncg,linear_gate,,,,seed_mean,all_conditions,,,rmse_pct_fs,value,1.7605204102697465,percent_full_scale_or_percent,0.04665123553947889,,,4000,24000,145,3,0,{}
main_results,syncg/summary.csv,syncg,linear_gate,,,,seed_mean,all_conditions,,,acc_at_1_pct,value,81.36666666666667,percent_full_scale_or_percent,0.8252945602093286,,,4000,24000,145,3,0,{}
main_results,syncg/summary.csv,syncg,linear_gate,,,,seed_mean,all_conditions,,,acc_at_2_pct,value,93.95555555555556,percent_full_scale_or_percent,0.2765214645743998,,,4000,24000,145,3,0,{}
main_results,syncg/summary.csv,syncg,linear_gate,,,,seed_mean,all_conditions,,,acc_at_5_pct,value,98.88333333333334,percent_full_scale_or_percent,0.03145764348029347,,,4000,24000,145,3,0,{}
main_results,syncg/summary.csv,syncg,linear_gate,,,,seed_mean,all_conditions,,,coverage_pct,value,100.0,percent_full_scale_or_percent,0.0,,,4000,24000,145,3,0,{}
main_results,syncg/summary.csv,syncg,linear_gate,,,,equal_ensemble,all_conditions,,,nmae_pct_fs,value,0.6391768049283807,percent_full_scale_or_percent,,,,4000,24000,145,3,3,{}
main_results,syncg/summary.csv,syncg,linear_gate,,,,equal_ensemble,all_conditions,,,rmse_pct_fs,value,1.610384688893091,percent_full_scale_or_percent,,,,4000,24000,145,3,3,{}
main_results,syncg/summary.csv,syncg,linear_gate,,,,equal_ensemble,all_conditions,,,acc_at_1_pct,value,85.4375,percent_full_scale_or_percent,,,,4000,24000,145,3,3,{}
main_results,syncg/summary.csv,syncg,linear_gate,,,,equal_ensemble,all_conditions,,,acc_at_2_pct,value,95.4125,percent_full_scale_or_percent,,,,4000,24000,145,3,3,{}
main_results,syncg/summary.csv,syncg,linear_gate,,,,equal_ensemble,all_conditions,,,acc_at_5_pct,value,99.01666666666667,percent_full_scale_or_percent,,,,4000,24000,145,3,3,{}
main_results,syncg/summary.csv,syncg,linear_gate,,,,equal_ensemble,all_conditions,,,coverage_pct,value,100.0,percent_full_scale_or_percent,,,,4000,24000,145,3,3,{}
main_results,syncg/summary.csv,syncg,no_geometry_fixed_routing,,,,seed_mean,all_conditions,,,nmae_pct_fs,value,1.3692082070344542,percent_full_scale_or_percent,0.046797726063919395,,,4000,24000,145,3,0,{}
main_results,syncg/summary.csv,syncg,no_geometry_fixed_routing,,,,seed_mean,all_conditions,,,rmse_pct_fs,value,2.770842524735895,percent_full_scale_or_percent,0.088791148179902,,,4000,24000,145,3,0,{}
