数据集,方法,评测条件,基础专家权重,极坐标专家权重,关系专家权重,归一化路由熵,最大权重>0.95占比（%）
RF100-VL,线性增益头,六条件总体,0.325 ± 0.007,0.204 ± 0.007,0.471 ± 0.014,0.700 ± 0.023,8.31 ± 2.46
RF100-VL,11标量MLP门控,六条件总体,0.338 ± 0.003,0.201 ± 0.003,0.461 ± 0.004,0.763 ± 0.009,2.39 ± 0.67
RF100-VL,三专家等权混合,六条件总体,0.333 ± 0.000,0.333 ± 0.000,0.333 ± 0.000,1.000 ± 0.000,0.00 ± 0.00
RF100-VL,固定先验混合,六条件总体,0.500 ± 0.000,0.250 ± 0.000,0.250 ± 0.000,0.946 ± 0.000,0.00 ± 0.00
RF100-VL,GeoPRR完整模型,无扰动,0.455 ± 0.044,0.346 ± 0.072,0.199 ± 0.028,0.893 ± 0.029,0.00 ± 0.00
RF100-VL,线性增益头,无扰动,0.442 ± 0.007,0.370 ± 0.010,0.188 ± 0.004,0.909 ± 0.021,0.22 ± 0.38
RF100-VL,11标量MLP门控,无扰动,0.446 ± 0.007,0.361 ± 0.007,0.193 ± 0.002,0.950 ± 0.002,0.00 ± 0.00
RF100-VL,三专家等权混合,无扰动,0.333 ± 0.000,0.333 ± 0.000,0.333 ± 0.000,1.000 ± 0.000,0.00 ± 0.00
RF100-VL,固定先验混合,无扰动,0.500 ± 0.000,0.250 ± 0.000,0.250 ± 0.000,0.946 ± 0.000,0.00 ± 0.00
RF100-VL,GeoPRR完整模型,中度模糊,0.457 ± 0.042,0.344 ± 0.069,0.199 ± 0.027,0.894 ± 0.027,0.22 ± 0.38
RF100-VL,线性增益头,中度模糊,0.443 ± 0.008,0.368 ± 0.012,0.189 ± 0.005,0.910 ± 0.020,0.22 ± 0.38
RF100-VL,11标量MLP门控,中度模糊,0.446 ± 0.006,0.361 ± 0.006,0.193 ± 0.002,0.950 ± 0.002,0.00 ± 0.00
RF100-VL,三专家等权混合,中度模糊,0.333 ± 0.000,0.333 ± 0.000,0.333 ± 0.000,1.000 ± 0.000,0.00 ± 0.00
RF100-VL,固定先验混合,中度模糊,0.500 ± 0.000,0.250 ± 0.000,0.250 ± 0.000,0.946 ± 0.000,0.00 ± 0.00
RF100-VL,GeoPRR完整模型,重度模糊,0.459 ± 0.036,0.340 ± 0.061,0.201 ± 0.025,0.897 ± 0.024,0.22 ± 0.38
RF100-VL,线性增益头,重度模糊,0.446 ± 0.007,0.363 ± 0.010,0.191 ± 0.005,0.915 ± 0.017,0.00 ± 0.00
RF100-VL,11标量MLP门控,重度模糊,0.445 ± 0.006,0.362 ± 0.006,0.193 ± 0.002,0.950 ± 0.002,0.00 ± 0.00
RF100-VL,三专家等权混合,重度模糊,0.333 ± 0.000,0.333 ± 0.000,0.333 ± 0.000,1.000 ± 0.000,0.00 ± 0.00
