figure_id,panel,source_table,cohort,method,reference,aggregation,scope,condition,angle_degrees,metric,value,sample_sd,ci95_low,ci95_high,images,groups,unit
table_main,frozen_transfer,syncg/summary.csv,syncg,no_relational_transport,,seed_mean,all_conditions,,,acc_at_2_pct,93.16111111111111,0.2724736650543456,,,4000,145,percent_full_scale_or_percent
table_main,frozen_transfer,syncg/summary.csv,syncg,no_relational_transport,,seed_mean,all_conditions,,,acc_at_5_pct,98.84305555555557,0.07087417123430141,,,4000,145,percent_full_scale_or_percent
table_main,frozen_transfer,syncg/summary.csv,syncg,no_relational_transport,,seed_mean,all_conditions,,,coverage_pct,100.0,0.0,,,4000,145,percent_full_scale_or_percent
table_main,frozen_transfer,syncg/summary.csv,syncg,polar_only,,seed_mean,all_conditions,,,nmae_pct_fs,1.6355317900885389,0.044032328142669774,,,4000,145,percent_full_scale_or_percent
table_main,frozen_transfer,syncg/summary.csv,syncg,polar_only,,seed_mean,all_conditions,,,acc_at_2_pct,76.61805555555556,0.8898183075046119,,,4000,145,percent_full_scale_or_percent
table_main,frozen_transfer,syncg/summary.csv,syncg,polar_only,,seed_mean,all_conditions,,,acc_at_5_pct,93.91944444444444,0.4473365105864917,,,4000,145,percent_full_scale_or_percent
table_main,frozen_transfer,syncg/summary.csv,syncg,polar_only,,seed_mean,all_conditions,,,coverage_pct,100.0,0.0,,,4000,145,percent_full_scale_or_percent
table_main,frozen_transfer,syncg/summary.csv,syncg,raw_efficientnet_b0_six_condition,,seed_mean,all_conditions,,,nmae_pct_fs,0.726439705925198,0.006902152732278678,,,4000,145,percent_full_scale_or_percent
table_main,frozen_transfer,syncg/summary.csv,syncg,raw_efficientnet_b0_six_condition,,seed_mean,all_conditions,,,acc_at_2_pct,95.1375,0.12956926504555025,,,4000,145,percent_full_scale_or_percent
table_main,frozen_transfer,syncg/summary.csv,syncg,raw_efficientnet_b0_six_condition,,seed_mean,all_conditions,,,acc_at_5_pct,99.20694444444445,0.0800751961411074,,,4000,145,percent_full_scale_or_percent
table_main,frozen_transfer,syncg/summary.csv,syncg,raw_efficientnet_b0_six_condition,,seed_mean,all_conditions,,,coverage_pct,100.0,0.0,,,4000,145,percent_full_scale_or_percent
table_main,frozen_transfer,syncg/summary.csv,syncg,relational_only,,seed_mean,all_conditions,,,nmae_pct_fs,0.7514470879362003,0.02311677204074034,,,4000,145,percent_full_scale_or_percent
table_main,frozen_transfer,syncg/summary.csv,syncg,relational_only,,seed_mean,all_conditions,,,acc_at_2_pct,93.81388888888888,0.33224649205293844,,,4000,145,percent_full_scale_or_percent
table_main,frozen_transfer,syncg/summary.csv,syncg,relational_only,,seed_mean,all_conditions,,,acc_at_5_pct,98.88611111111112,0.02956082868582444,,,4000,145,percent_full_scale_or_percent
table_main,frozen_transfer,syncg/summary.csv,syncg,relational_only,,seed_mean,all_conditions,,,coverage_pct,100.0,0.0,,,4000,145,percent_full_scale_or_percent
table_main,frozen_transfer,syncg/summary.csv,syncg,scalar_gate,,seed_mean,all_conditions,,,nmae_pct_fs,0.738954023481185,0.021423537228487294,,,4000,145,percent_full_scale_or_percent
table_main,frozen_transfer,syncg/summary.csv,syncg,scalar_gate,,seed_mean,all_conditions,,,acc_at_2_pct,93.96388888888889,0.2714842605082336,,,4000,145,percent_full_scale_or_percent
table_main,frozen_transfer,syncg/summary.csv,syncg,scalar_gate,,seed_mean,all_conditions,,,acc_at_5_pct,98.89722222222223,0.054220059155398154,,,4000,145,percent_full_scale_or_percent
table_main,frozen_transfer,syncg/summary.csv,syncg,scalar_gate,,seed_mean,all_conditions,,,coverage_pct,100.0,0.0,,,4000,145,percent_full_scale_or_percent
table_main,frozen_transfer,syncg/summary.csv,syncg,uniform,,seed_mean,all_conditions,,,nmae_pct_fs,0.9566457161615188,0.02243253707858861,,,4000,145,percent_full_scale_or_percent
table_main,frozen_transfer,syncg/summary.csv,syncg,uniform,,seed_mean,all_conditions,,,acc_at_2_pct,90.375,0.2572220722341784,,,4000,145,percent_full_scale_or_percent
table_main,frozen_transfer,syncg/summary.csv,syncg,uniform,,seed_mean,all_conditions,,,acc_at_5_pct,98.12222222222222,0.20452066815777628,,,4000,145,percent_full_scale_or_percent
table_main,frozen_transfer,syncg/summary.csv,syncg,uniform,,seed_mean,all_conditions,,,coverage_pct,100.0,0.0,,,4000,145,percent_full_scale_or_percent
table_paired,all_conditions,syncg/paired.csv,syncg,base_only,full,seed_mean,all_conditions,,,candidate_minus_reference,0.0548554723086353,,0.05045311159626289,0.05925160099793041,4000,145,native_metric
