数据集,对照方法,参考方法,评测条件,统计方式,NMAE差值（%FS）,NMAE差值95%CI,Acc@5%差值（百分点）,Acc@5%差值95%CI
SyncG,Raw B0（六条件增强）,GeoPRR完整模型,无扰动,三seed平均,-0.013845,"[-0.034726, 0.008326]",0.075,"[-0.065781, 0.221513]"
SyncG,仅关系专家,GeoPRR完整模型,无扰动,三seed平均,0.0252,"[0.022701, 0.027666]",0.033333,"[0.008194, 0.067579]"
SyncG,11标量MLP门控,GeoPRR完整模型,无扰动,三seed平均,0.002572,"[0.001782, 0.003315]",0.008333,"[0.000000, 0.025569]"
SyncG,三专家等权混合,GeoPRR完整模型,无扰动,三seed平均,0.004328,"[0.003338, 0.005250]",0.016667,"[0.000000, 0.042248]"
SyncG,仅几何/基础专家,GeoPRR完整模型,无扰动,三模型等权集成,0.022908,"[0.019727, 0.026098]",0.05,"[0.000000, 0.126263]"
SyncG,简单双视图回归,GeoPRR完整模型,无扰动,三模型等权集成,-0.012399,"[-0.020845, -0.004039]",0.1,"[-0.024071, 0.225282]"
SyncG,固定先验混合,GeoPRR完整模型,无扰动,三模型等权集成,0.007255,"[0.005704, 0.008773]",0.05,"[0.000000, 0.126263]"
SyncG,线性增益头,GeoPRR完整模型,无扰动,三模型等权集成,0.000608,"[0.000134, 0.001089]",0,"[0.000000, 0.000000]"
SyncG,去几何融合+固定路由,GeoPRR完整模型,无扰动,三模型等权集成,0.007255,"[0.005704, 0.008773]",0.05,"[0.000000, 0.126263]"
SyncG,去几何融合,GeoPRR完整模型,无扰动,三模型等权集成,-0.00102,"[-0.001603, -0.000440]",0,"[0.000000, 0.000000]"
SyncG,去极坐标证据,GeoPRR完整模型,无扰动,三模型等权集成,0.022908,"[0.019727, 0.026098]",0.05,"[0.000000, 0.126263]"
SyncG,去关系传输,GeoPRR完整模型,无扰动,三模型等权集成,-0.000667,"[-0.001144, -0.000213]",0,"[0.000000, 0.000000]"
SyncG,仅极坐标专家,GeoPRR完整模型,无扰动,三模型等权集成,-0.007755,"[-0.011525, -0.004021]",0,"[0.000000, 0.000000]"
SyncG,Raw B0（六条件增强）,GeoPRR完整模型,无扰动,三模型等权集成,0.008022,"[-0.014558, 0.031398]",0.15,"[-0.025183, 0.332653]"
SyncG,仅关系专家,GeoPRR完整模型,无扰动,三模型等权集成,0.022908,"[0.019727, 0.026098]",0.05,"[0.000000, 0.126263]"
SyncG,11标量MLP门控,GeoPRR完整模型,无扰动,三模型等权集成,0.001589,"[0.000762, 0.002392]",0,"[0.000000, 0.000000]"
SyncG,三专家等权混合,GeoPRR完整模型,无扰动,三模型等权集成,0.003031,"[0.001945, 0.004096]",0.05,"[0.000000, 0.126263]"
SyncG,仅几何/基础专家,GeoPRR完整模型,中度模糊,三seed平均,0.025083,"[0.022538, 0.027576]",0.033333,"[0.000000, 0.074869]"
SyncG,简单双视图回归,GeoPRR完整模型,中度模糊,三seed平均,0.001697,"[-0.006109, 0.009432]",0.058333,"[-0.016750, 0.138755]"
