数据集,对照方法,参考方法,评测条件,统计方式,NMAE差值（%FS）,NMAE差值95%CI,Acc@5%差值（百分点）,Acc@5%差值95%CI
SyncG,去关系传输,GeoPRR完整模型,重度复合扰动,三模型等权集成,0.140767,"[0.128333, 0.153102]",-0.075,"[-0.255363, 0.098962]"
SyncG,仅极坐标专家,GeoPRR完整模型,重度复合扰动,三模型等权集成,2.316146,"[2.192870, 2.442583]",-12.8,"[-13.801719, -11.780887]"
SyncG,Raw B0（六条件增强）,GeoPRR完整模型,重度复合扰动,三模型等权集成,0.001374,"[-0.060865, 0.065589]",0.85,"[0.394769, 1.306384]"
SyncG,仅关系专家,GeoPRR完整模型,重度复合扰动,三模型等权集成,-0.014577,"[-0.019737, -0.009447]",0,"[-0.075510, 0.074276]"
SyncG,11标量MLP门控,GeoPRR完整模型,重度复合扰动,三模型等权集成,-0.001356,"[-0.003531, 0.000825]",0,"[0.000000, 0.000000]"
SyncG,三专家等权混合,GeoPRR完整模型,重度复合扰动,三模型等权集成,0.630219,"[0.590097, 0.672218]",-2.275,"[-2.830189, -1.739985]"
RF100-VL,仅几何/基础专家,GeoPRR完整模型,六条件总体,三seed平均,0.05572,"[0.001723, 0.123113]",-0.441501,"[-1.056015, 0.226774]"
RF100-VL,简单双视图回归,GeoPRR完整模型,六条件总体,三seed平均,0.073197,"[-0.329934, 0.323030]",-1.103753,"[-4.756847, 2.264968]"
RF100-VL,固定先验混合,GeoPRR完整模型,六条件总体,三seed平均,0.208202,"[0.086344, 0.354176]",-2.133922,"[-3.253291, -1.128021]"
RF100-VL,线性增益头,GeoPRR完整模型,六条件总体,三seed平均,0.010266,"[0.001170, 0.020211]",-0.110375,"[-0.271003, 0.000000]"
RF100-VL,仅极坐标专家,GeoPRR完整模型,六条件总体,三seed平均,1.425541,"[1.063926, 1.884369]",-10.890361,"[-13.710508, -7.856647]"
RF100-VL,Raw B0（六条件增强）,GeoPRR完整模型,六条件总体,三seed平均,0.970757,"[-0.199658, 2.254702]",-8.719647,"[-17.474175, -1.209677]"
RF100-VL,仅关系专家,GeoPRR完整模型,六条件总体,三seed平均,0.007389,"[-0.006203, 0.021592]",-0.294334,"[-0.690335, 0.049603]"
RF100-VL,11标量MLP门控,GeoPRR完整模型,六条件总体,三seed平均,0.015409,"[0.004399, 0.027717]",-0.183959,"[-0.438617, 0.041771]"
RF100-VL,三专家等权混合,GeoPRR完整模型,六条件总体,三seed平均,0.297254,"[0.147195, 0.476045]",-2.980132,"[-4.279293, -1.767635]"
RF100-VL,仅几何/基础专家,GeoPRR完整模型,六条件总体,三模型等权集成,0.046963,"[-0.007594, 0.116978]",-1.103753,"[-1.876380, -0.541126]"
RF100-VL,简单双视图回归,GeoPRR完整模型,六条件总体,三模型等权集成,-0.063298,"[-0.486809, 0.171083]",-1.103753,"[-6.424858, 3.030303]"
RF100-VL,固定先验混合,GeoPRR完整模型,六条件总体,三模型等权集成,0.182794,"[0.051051, 0.343082]",-2.538631,"[-4.004329, -1.282051]"
RF100-VL,线性增益头,GeoPRR完整模型,六条件总体,三模型等权集成,0.005547,"[-0.000421, 0.012191]",-0.220751,"[-0.698111, 0.000000]"
RF100-VL,仅极坐标专家,GeoPRR完整模型,六条件总体,三模型等权集成,1.190562,"[0.760004, 1.700189]",-10.264901,"[-13.211557, -7.083265]"
RF100-VL,Raw B0（六条件增强）,GeoPRR完整模型,六条件总体,三模型等权集成,0.898923,"[-0.267796, 2.123359]",-9.492274,"[-18.935395, -1.143735]"
RF100-VL,仅关系专家,GeoPRR完整模型,六条件总体,三模型等权集成,-0.006743,"[-0.019413, 0.008315]",-0.220751,"[-0.698111, 0.000000]"
RF100-VL,11标量MLP门控,GeoPRR完整模型,六条件总体,三模型等权集成,0.011609,"[0.002974, 0.021060]",-0.220751,"[-0.698111, 0.000000]"
RF100-VL,三专家等权混合,GeoPRR完整模型,六条件总体,三模型等权集成,0.259122,"[0.090759, 0.459501]",-2.759382,"[-4.377140, -1.111111]"
RF100-VL,仅几何/基础专家,GeoPRR完整模型,无扰动,三seed平均,0.007021,"[-0.010112, 0.027945]",-0.662252,"[-1.268116, 0.000000]"
RF100-VL,简单双视图回归,GeoPRR完整模型,无扰动,三seed平均,0.108412,"[-0.312185, 0.392976]",-1.103753,"[-4.691358, 2.205882]"
RF100-VL,固定先验混合,GeoPRR完整模型,无扰动,三seed平均,0.009846,"[0.001140, 0.020288]",-0.662252,"[-1.268116, 0.000000]"
RF100-VL,线性增益头,GeoPRR完整模型,无扰动,三seed平均,0.009746,"[0.001780, 0.018686]",0,"[0.000000, 0.000000]"
RF100-VL,仅极坐标专家,GeoPRR完整模型,无扰动,三seed平均,0.02646,"[-0.003187, 0.047638]",0,"[0.000000, 0.000000]"
RF100-VL,Raw B0（六条件增强）,GeoPRR完整模型,无扰动,三seed平均,1.246285,"[-0.400138, 2.889766]",-8.388521,"[-16.465923, 0.000000]"
RF100-VL,仅关系专家,GeoPRR完整模型,无扰动,三seed平均,0.007021,"[-0.010112, 0.027945]",-0.662252,"[-1.268116, 0.000000]"
RF100-VL,11标量MLP门控,GeoPRR完整模型,无扰动,三seed平均,0.014568,"[0.007566, 0.022585]",-0.220751,"[-0.698111, 0.000000]"
RF100-VL,三专家等权混合,GeoPRR完整模型,无扰动,三seed平均,0.011025,"[0.004420, 0.018707]",-0.441501,"[-1.025641, 0.000000]"
RF100-VL,仅几何/基础专家,GeoPRR完整模型,无扰动,三模型等权集成,-0.002954,"[-0.020869, 0.021266]",0,"[0.000000, 0.000000]"
RF100-VL,简单双视图回归,GeoPRR完整模型,无扰动,三模型等权集成,-0.006499,"[-0.470243, 0.305755]",-1.324503,"[-5.000000, 2.343750]"
RF100-VL,固定先验混合,GeoPRR完整模型,无扰动,三模型等权集成,0.005112,"[-0.004386, 0.016722]",0,"[0.000000, 0.000000]"
RF100-VL,线性增益头,GeoPRR完整模型,无扰动,三模型等权集成,0.009444,"[0.001068, 0.018992]",0,"[0.000000, 0.000000]"
RF100-VL,仅极坐标专家,GeoPRR完整模型,无扰动,三模型等权集成,0.031363,"[-0.004370, 0.053704]",0.662252,"[0.000000, 2.380952]"
RF100-VL,Raw B0（六条件增强）,GeoPRR完整模型,无扰动,三模型等权集成,1.255149,"[-0.416335, 2.874651]",-9.933775,"[-19.642857, 0.000000]"
RF100-VL,仅关系专家,GeoPRR完整模型,无扰动,三模型等权集成,-0.002954,"[-0.020869, 0.021266]",0,"[0.000000, 0.000000]"
RF100-VL,11标量MLP门控,GeoPRR完整模型,无扰动,三模型等权集成,0.013445,"[0.006216, 0.021923]",0,"[0.000000, 0.000000]"
RF100-VL,三专家等权混合,GeoPRR完整模型,无扰动,三模型等权集成,0.007974,"[0.000272, 0.016760]",0,"[0.000000, 0.000000]"
RF100-VL,仅几何/基础专家,GeoPRR完整模型,中度模糊,三seed平均,0.003487,"[-0.013524, 0.023168]",-0.441501,"[-1.025641, 0.000000]"
RF100-VL,简单双视图回归,GeoPRR完整模型,中度模糊,三seed平均,0.121877,"[-0.307206, 0.412388]",-2.649007,"[-6.540084, 0.909091]"
RF100-VL,固定先验混合,GeoPRR完整模型,中度模糊,三seed平均,0.007798,"[-0.000743, 0.017767]",-0.441501,"[-1.025641, 0.000000]"
RF100-VL,线性增益头,GeoPRR完整模型,中度模糊,三seed平均,0.009449,"[0.001372, 0.018537]",-0.441501,"[-1.025641, 0.000000]"
RF100-VL,仅极坐标专家,GeoPRR完整模型,中度模糊,三seed平均,0.026442,"[-0.003215, 0.047634]",-0.441501,"[-1.025641, 0.000000]"
RF100-VL,Raw B0（六条件增强）,GeoPRR完整模型,中度模糊,三seed平均,1.191771,"[-0.300602, 2.789481]",-9.713024,"[-18.750000, -0.943176]"
RF100-VL,仅关系专家,GeoPRR完整模型,中度模糊,三seed平均,0.003487,"[-0.013524, 0.023168]",-0.441501,"[-1.025641, 0.000000]"
RF100-VL,11标量MLP门控,GeoPRR完整模型,中度模糊,三seed平均,0.01337,"[0.006210, 0.021249]",-0.441501,"[-1.025641, 0.000000]"
RF100-VL,三专家等权混合,GeoPRR完整模型,中度模糊,三seed平均,0.009548,"[0.002813, 0.017132]",-0.441501,"[-1.025641, 0.000000]"
RF100-VL,仅几何/基础专家,GeoPRR完整模型,中度模糊,三模型等权集成,-0.00399,"[-0.022038, 0.020177]",0,"[0.000000, 0.000000]"
RF100-VL,简单双视图回归,GeoPRR完整模型,中度模糊,三模型等权集成,0.016095,"[-0.449412, 0.309121]",-1.324503,"[-5.555556, 2.739726]"
RF100-VL,固定先验混合,GeoPRR完整模型,中度模糊,三模型等权集成,0.004312,"[-0.005085, 0.015928]",0,"[0.000000, 0.000000]"
RF100-VL,线性增益头,GeoPRR完整模型,中度模糊,三模型等权集成,0.008906,"[0.000865, 0.018260]",0,"[0.000000, 0.000000]"
RF100-VL,仅极坐标专家,GeoPRR完整模型,中度模糊,三模型等权集成,0.030777,"[-0.005981, 0.054499]",-0.662252,"[-2.054795, 0.000000]"
RF100-VL,Raw B0（六条件增强）,GeoPRR完整模型,中度模糊,三模型等权集成,1.188448,"[-0.310400, 2.714757]",-11.258278,"[-21.212121, -1.000000]"
RF100-VL,仅关系专家,GeoPRR完整模型,中度模糊,三模型等权集成,-0.00399,"[-0.022038, 0.020177]",0,"[0.000000, 0.000000]"
RF100-VL,11标量MLP门控,GeoPRR完整模型,中度模糊,三模型等权集成,0.012415,"[0.005334, 0.020938]",0,"[0.000000, 0.000000]"
RF100-VL,三专家等权混合,GeoPRR完整模型,中度模糊,三模型等权集成,0.007164,"[-0.000345, 0.015972]",0,"[0.000000, 0.000000]"
RF100-VL,仅几何/基础专家,GeoPRR完整模型,重度模糊,三seed平均,0.002724,"[-0.013476, 0.020911]",-0.220751,"[-0.698111, 0.000000]"
RF100-VL,简单双视图回归,GeoPRR完整模型,重度模糊,三seed平均,0.138426,"[-0.307469, 0.461156]",-1.545254,"[-5.154687, 1.728395]"
RF100-VL,固定先验混合,GeoPRR完整模型,重度模糊,三seed平均,0.007976,"[0.000187, 0.017315]",0,"[0.000000, 0.000000]"
RF100-VL,线性增益头,GeoPRR完整模型,重度模糊,三seed平均,0.009064,"[0.002170, 0.016837]",0,"[0.000000, 0.000000]"
RF100-VL,仅极坐标专家,GeoPRR完整模型,重度模糊,三seed平均,0.031012,"[0.001447, 0.053194]",0,"[0.000000, 0.000000]"
RF100-VL,Raw B0（六条件增强）,GeoPRR完整模型,重度模糊,三seed平均,0.95761,"[-0.396579, 2.467237]",-6.843267,"[-17.021404, 2.564103]"
RF100-VL,仅关系专家,GeoPRR完整模型,重度模糊,三seed平均,0.002724,"[-0.013476, 0.020911]",-0.220751,"[-0.698111, 0.000000]"
RF100-VL,11标量MLP门控,GeoPRR完整模型,重度模糊,三seed平均,0.013835,"[0.007466, 0.021551]",0,"[0.000000, 0.000000]"
RF100-VL,三专家等权混合,GeoPRR完整模型,重度模糊,三seed平均,0.009962,"[0.004155, 0.017083]",0,"[0.000000, 0.000000]"
RF100-VL,仅几何/基础专家,GeoPRR完整模型,重度模糊,三模型等权集成,-0.003894,"[-0.021828, 0.019838]",0,"[0.000000, 0.000000]"
RF100-VL,简单双视图回归,GeoPRR完整模型,重度模糊,三模型等权集成,0.03398,"[-0.421440, 0.302907]",0.662252,"[-3.418803, 4.819485]"
RF100-VL,固定先验混合,GeoPRR完整模型,重度模糊,三模型等权集成,0.00351,"[-0.004502, 0.013948]",0,"[0.000000, 0.000000]"
RF100-VL,线性增益头,GeoPRR完整模型,重度模糊,三模型等权集成,0.007138,"[0.001099, 0.014045]",0,"[0.000000, 0.000000]"
RF100-VL,仅极坐标专家,GeoPRR完整模型,重度模糊,三模型等权集成,0.030925,"[-0.005307, 0.056417]",0,"[0.000000, 0.000000]"
RF100-VL,Raw B0（六条件增强）,GeoPRR完整模型,重度模糊,三模型等权集成,0.891565,"[-0.445269, 2.314138]",-5.960265,"[-15.384615, 3.478261]"
RF100-VL,仅关系专家,GeoPRR完整模型,重度模糊,三模型等权集成,-0.003894,"[-0.021828, 0.019838]",0,"[0.000000, 0.000000]"
RF100-VL,11标量MLP门控,GeoPRR完整模型,重度模糊,三模型等权集成,0.011304,"[0.005545, 0.018833]",0,"[0.000000, 0.000000]"
RF100-VL,三专家等权混合,GeoPRR完整模型,重度模糊,三模型等权集成,0.00614,"[0.000452, 0.013376]",0,"[0.000000, 0.000000]"
RF100-VL,仅几何/基础专家,GeoPRR完整模型,中度透视,三seed平均,0.022483,"[-0.040447, 0.095434]",1.103753,"[0.000000, 2.477477]"
RF100-VL,简单双视图回归,GeoPRR完整模型,中度透视,三seed平均,0.161318,"[-0.178933, 0.409031]",-2.207506,"[-8.484991, 2.956989]"
RF100-VL,固定先验混合,GeoPRR完整模型,中度透视,三seed平均,0.103985,"[-0.006280, 0.285372]",-0.662252,"[-2.123142, 0.424628]"
RF100-VL,线性增益头,GeoPRR完整模型,中度透视,三seed平均,0.014766,"[0.003342, 0.028008]",0,"[-0.626052, 0.617284]"
RF100-VL,仅极坐标专家,GeoPRR完整模型,中度透视,三seed平均,0.855986,"[0.475741, 1.493083]",-5.298013,"[-8.734434, -2.446483]"
RF100-VL,Raw B0（六条件增强）,GeoPRR完整模型,中度透视,三seed平均,1.069833,"[0.015769, 2.388825]",-9.713024,"[-20.654566, -0.350877]"
RF100-VL,仅关系专家,GeoPRR完整模型,中度透视,三seed平均,0.013219,"[-0.013585, 0.032144]",0.220751,"[0.000000, 0.793651]"
RF100-VL,11标量MLP门控,GeoPRR完整模型,中度透视,三seed平均,0.01437,"[0.001120, 0.026713]",0,"[-0.595238, 0.694444]"
RF100-VL,三专家等权混合,GeoPRR完整模型,中度透视,三seed平均,0.146556,"[0.010545, 0.371654]",-0.883002,"[-2.693665, 0.360360]"
RF100-VL,仅几何/基础专家,GeoPRR完整模型,中度透视,三模型等权集成,0.024336,"[-0.042576, 0.097704]",-1.324503,"[-3.937008, 1.351351]"
RF100-VL,简单双视图回归,GeoPRR完整模型,中度透视,三模型等权集成,0.100923,"[-0.311692, 0.425942]",-3.311258,"[-10.563380, 2.479339]"
RF100-VL,固定先验混合,GeoPRR完整模型,中度透视,三模型等权集成,0.099726,"[-0.011639, 0.283221]",-1.324503,"[-4.545455, 1.041667]"
RF100-VL,线性增益头,GeoPRR完整模型,中度透视,三模型等权集成,0.008607,"[-0.003524, 0.022292]",-0.662252,"[-2.094332, 0.000000]"
RF100-VL,仅极坐标专家,GeoPRR完整模型,中度透视,三模型等权集成,0.730341,"[0.340885, 1.383360]",-7.284768,"[-12.389381, -2.564103]"
RF100-VL,Raw B0（六条件增强）,GeoPRR完整模型,中度透视,三模型等权集成,1.013046,"[-0.089658, 2.280122]",-10.596026,"[-24.161443, 1.734230]"
RF100-VL,仅关系专家,GeoPRR完整模型,中度透视,三模型等权集成,-0.003472,"[-0.036644, 0.021052]",-0.662252,"[-2.094332, 0.000000]"
RF100-VL,11标量MLP门控,GeoPRR完整模型,中度透视,三模型等权集成,0.011654,"[-0.000009, 0.023073]",-1.324503,"[-4.188665, 0.000000]"
RF100-VL,三专家等权混合,GeoPRR完整模型,中度透视,三模型等权集成,0.130334,"[-0.015592, 0.361306]",-0.662252,"[-4.964539, 3.200128]"
RF100-VL,仅几何/基础专家,GeoPRR完整模型,重度透视,三seed平均,0.126766,"[0.007047, 0.272324]",-0.662252,"[-2.325581, 0.917431]"
RF100-VL,简单双视图回归,GeoPRR完整模型,重度透视,三seed平均,0.024238,"[-0.427627, 0.323639]",0.441501,"[-2.177554, 3.883630]"
RF100-VL,固定先验混合,GeoPRR完整模型,重度透视,三seed平均,0.601903,"[0.259219, 0.974485]",-5.739514,"[-8.761905, -2.240844]"
RF100-VL,线性增益头,GeoPRR完整模型,重度透视,三seed平均,0.015646,"[-0.008812, 0.040396]",0,"[0.000000, 0.000000]"
RF100-VL,仅极坐标专家,GeoPRR完整模型,重度透视,三seed平均,3.810572,"[2.758518, 5.137645]",-29.139073,"[-37.268661, -19.002948]"
RF100-VL,Raw B0（六条件增强）,GeoPRR完整模型,重度透视,三seed平均,1.008668,"[0.063353, 2.120881]",-9.713024,"[-18.264950, -2.919708]"
RF100-VL,仅关系专家,GeoPRR完整模型,重度透视,三seed平均,0.025777,"[0.000886, 0.049910]",-0.441501,"[-1.396222, 0.000000]"
RF100-VL,11标量MLP门控,GeoPRR完整模型,重度透视,三seed平均,0.023944,"[-0.007968, 0.057827]",-0.220751,"[-0.823045, 0.000000]"
RF100-VL,三专家等权混合,GeoPRR完整模型,重度透视,三seed平均,0.855789,"[0.420084, 1.335470]",-7.505519,"[-10.707071, -3.550296]"
RF100-VL,仅几何/基础专家,GeoPRR完整模型,重度透视,三模型等权集成,0.090058,"[-0.028487, 0.234177]",-3.311258,"[-7.361963, -0.813008]"
RF100-VL,简单双视图回归,GeoPRR完整模型,重度透视,三模型等权集成,-0.217567,"[-0.690339, 0.061994]",-1.986755,"[-11.111111, 4.310345]"
RF100-VL,固定先验混合,GeoPRR完整模型,重度透视,三模型等权集成,0.500015,"[0.139294, 0.912686]",-5.960265,"[-10.370370, -1.904762]"
RF100-VL,线性增益头,GeoPRR完整模型,重度透视,三模型等权集成,0.001095,"[-0.015947, 0.018481]",0,"[0.000000, 0.000000]"
RF100-VL,仅极坐标专家,GeoPRR完整模型,重度透视,三模型等权集成,3.114853,"[1.840219, 4.586398]",-26.490066,"[-36.021589, -17.045455]"
RF100-VL,Raw B0（六条件增强）,GeoPRR完整模型,重度透视,三模型等权集成,0.797529,"[-0.159463, 1.910583]",-11.92053,"[-26.190476, -2.702703]"
RF100-VL,仅关系专家,GeoPRR完整模型,重度透视,三模型等权集成,-0.001483,"[-0.026495, 0.026752]",0,"[0.000000, 0.000000]"
RF100-VL,11标量MLP门控,GeoPRR完整模型,重度透视,三模型等权集成,0.01125,"[-0.013134, 0.038002]",0,"[0.000000, 0.000000]"
RF100-VL,三专家等权混合,GeoPRR完整模型,重度透视,三模型等权集成,0.722405,"[0.250307, 1.249796]",-7.94702,"[-12.626396, -3.076923]"
RF100-VL,仅几何/基础专家,GeoPRR完整模型,重度复合扰动,三seed平均,0.171841,"[0.021772, 0.358545]",-1.766004,"[-4.975357, 1.877934]"
RF100-VL,简单双视图回归,GeoPRR完整模型,重度复合扰动,三seed平均,-0.115087,"[-0.649496, 0.208508]",0.441501,"[-3.208617, 4.796208]"
RF100-VL,固定先验混合,GeoPRR完整模型,重度复合扰动,三seed平均,0.517702,"[0.151714, 0.919087]",-5.298013,"[-9.414758, -1.851852]"
RF100-VL,线性增益头,GeoPRR完整模型,重度复合扰动,三seed平均,0.002927,"[-0.012851, 0.018104]",-0.220751,"[-0.684932, 0.000000]"
RF100-VL,仅极坐标专家,GeoPRR完整模型,重度复合扰动,三seed平均,3.802773,"[2.819717, 4.993330]",-30.463576,"[-37.391481, -23.333333]"
RF100-VL,Raw B0（六条件增强）,GeoPRR完整模型,重度复合扰动,三seed平均,0.350376,"[-0.744702, 1.329763]",-7.94702,"[-17.910448, -0.194903]"
RF100-VL,仅关系专家,GeoPRR完整模型,重度复合扰动,三seed平均,-0.007896,"[-0.032387, 0.014571]",-0.220751,"[-0.684932, 0.000000]"
RF100-VL,11标量MLP门控,GeoPRR完整模型,重度复合扰动,三seed平均,0.012367,"[-0.006382, 0.034236]",-0.220751,"[-0.684932, 0.000000]"
RF100-VL,三专家等权混合,GeoPRR完整模型,重度复合扰动,三seed平均,0.750644,"[0.299069, 1.239249]",-8.609272,"[-13.381995, -4.519774]"
RF100-VL,仅几何/基础专家,GeoPRR完整模型,重度复合扰动,三模型等权集成,0.178219,"[0.025074, 0.367124]",-1.986755,"[-3.597122, 0.000000]"
RF100-VL,简单双视图回归,GeoPRR完整模型,重度复合扰动,三模型等权集成,-0.306722,"[-0.828035, -0.001610]",0.662252,"[-5.732615, 6.896552]"
RF100-VL,固定先验混合,GeoPRR完整模型,重度复合扰动,三模型等权集成,0.484091,"[0.082853, 0.920953]",-7.94702,"[-12.500000, -4.166667]"
RF100-VL,线性增益头,GeoPRR完整模型,重度复合扰动,三模型等权集成,-0.001906,"[-0.018215, 0.014926]",-0.662252,"[-2.094332, 0.000000]"
RF100-VL,仅极坐标专家,GeoPRR完整模型,重度复合扰动,三模型等权集成,3.205116,"[2.060497, 4.529282]",-27.81457,"[-36.585366, -17.240808]"
RF100-VL,Raw B0（六条件增强）,GeoPRR完整模型,重度复合扰动,三模型等权集成,0.247803,"[-0.839215, 1.234085]",-7.284768,"[-17.617342, 1.470588]"
RF100-VL,仅关系专家,GeoPRR完整模型,重度复合扰动,三模型等权集成,-0.024666,"[-0.046872, -0.002500]",-0.662252,"[-2.094332, 0.000000]"
RF100-VL,11标量MLP门控,GeoPRR完整模型,重度复合扰动,三模型等权集成,0.009586,"[-0.007360, 0.030414]",0,"[0.000000, 0.000000]"
RF100-VL,三专家等权混合,GeoPRR完整模型,重度复合扰动,三模型等权集成,0.680715,"[0.180148, 1.221791]",-7.94702,"[-13.333333, -3.125000]"
Industrial-1395,仅几何/基础专家,GeoPRR完整模型,六条件总体,三seed平均,-0.008198,"[-0.060879, 0.041541]",-0.095579,"[-0.728739, 0.482045]"
Industrial-1395,简单双视图回归,GeoPRR完整模型,六条件总体,三seed平均,-1.147198,"[-1.627013, -0.695467]",4.858622,"[2.495424, 7.279594]"
Industrial-1395,固定先验混合,GeoPRR完整模型,六条件总体,三seed平均,0.335404,"[0.159608, 0.500537]",-3.620072,"[-4.909474, -2.377321]"
Industrial-1395,线性增益头,GeoPRR完整模型,六条件总体,三seed平均,-0.003913,"[-0.012515, 0.005018]",0.111509,"[0.008335, 0.224253]"
Industrial-1395,仅极坐标专家,GeoPRR完整模型,六条件总体,三seed平均,2.114311,"[1.501011, 2.697601]",-11.079251,"[-13.518640, -8.605803]"
Industrial-1395,Raw B0（六条件增强）,GeoPRR完整模型,六条件总体,三seed平均,2.767947,"[0.442549, 5.073836]",-9.251294,"[-12.881478, -5.670664]"
Industrial-1395,仅关系专家,GeoPRR完整模型,六条件总体,三seed平均,-0.009171,"[-0.022849, 0.004649]",0.083632,"[-0.034162, 0.204192]"
Industrial-1395,11标量MLP门控,GeoPRR完整模型,六条件总体,三seed平均,0.014851,"[0.005576, 0.025194]",-0.083632,"[-0.189514, 0.023492]"
Industrial-1395,三专家等权混合,GeoPRR完整模型,六条件总体,三seed平均,0.491648,"[0.272912, 0.699758]",-4.707288,"[-6.135627, -3.319143]"
Industrial-1395,仅几何/基础专家,GeoPRR完整模型,六条件总体,三模型等权集成,0.017177,"[-0.030258, 0.061472]",-0.692951,"[-1.374454, -0.011815]"
Industrial-1395,简单双视图回归,GeoPRR完整模型,六条件总体,三模型等权集成,-1.296931,"[-1.769493, -0.853396]",6.272401,"[3.583040, 9.097474]"
Industrial-1395,固定先验混合,GeoPRR完整模型,六条件总体,三模型等权集成,0.407417,"[0.238037, 0.569415]",-4.623656,"[-6.162778, -3.200469]"
Industrial-1395,线性增益头,GeoPRR完整模型,六条件总体,三模型等权集成,-0.002108,"[-0.010829, 0.006831]",-0.011947,"[-0.197679, 0.166539]"
Industrial-1395,仅极坐标专家,GeoPRR完整模型,六条件总体,三模型等权集成,2.0855,"[1.455211, 2.692954]",-11.67264,"[-14.529668, -8.797302]"
Industrial-1395,Raw B0（六条件增强）,GeoPRR完整模型,六条件总体,三模型等权集成,2.613518,"[0.279709, 4.919468]",-9.091995,"[-12.954702, -5.266362]"
Industrial-1395,仅关系专家,GeoPRR完整模型,六条件总体,三模型等权集成,-0.015504,"[-0.028187, -0.002432]",0.011947,"[-0.111557, 0.140594]"
Industrial-1395,11标量MLP门控,GeoPRR完整模型,六条件总体,三模型等权集成,0.017274,"[0.007920, 0.027586]",-0.203106,"[-0.370067, -0.049640]"
Industrial-1395,三专家等权混合,GeoPRR完整模型,六条件总体,三模型等权集成,0.564181,"[0.346008, 0.773038]",-5.997611,"[-7.792057, -4.309073]"
Industrial-1395,仅几何/基础专家,GeoPRR完整模型,无扰动,三seed平均,-0.003889,"[-0.022642, 0.015243]",0.095579,"[-0.122778, 0.322581]"
Industrial-1395,简单双视图回归,GeoPRR完整模型,无扰动,三seed平均,-1.03851,"[-1.507978, -0.589864]",4.898447,"[2.521722, 7.415146]"
Industrial-1395,固定先验混合,GeoPRR完整模型,无扰动,三seed平均,0.007345,"[-0.003789, 0.019050]",0.04779,"[-0.095896, 0.204360]"
Industrial-1395,线性增益头,GeoPRR完整模型,无扰动,三seed平均,-0.006176,"[-0.015740, 0.003576]",0.119474,"[-0.023245, 0.288424]"
Industrial-1395,仅极坐标专家,GeoPRR完整模型,无扰动,三seed平均,0.044728,"[0.016108, 0.073659]",-0.238949,"[-0.702822, 0.175439]"
Industrial-1395,Raw B0（六条件增强）,GeoPRR完整模型,无扰动,三seed平均,1.921471,"[-0.549507, 4.550693]",-7.86141,"[-10.945627, -4.666656]"
Industrial-1395,仅关系专家,GeoPRR完整模型,无扰动,三seed平均,-0.003889,"[-0.022642, 0.015243]",0.095579,"[-0.122778, 0.322581]"
Industrial-1395,11标量MLP门控,GeoPRR完整模型,无扰动,三seed平均,0.023414,"[0.009943, 0.038610]",-0.143369,"[-0.320954, 0.027459]"
Industrial-1395,三专家等权混合,GeoPRR完整模型,无扰动,三seed平均,0.011159,"[0.001134, 0.021938]",-0.04779,"[-0.172603, 0.087261]"
Industrial-1395,仅几何/基础专家,GeoPRR完整模型,无扰动,三模型等权集成,-0.007976,"[-0.026365, 0.011147]",-0.071685,"[-0.326532, 0.156253]"
Industrial-1395,简单双视图回归,GeoPRR完整模型,无扰动,三模型等权集成,-1.127183,"[-1.613371, -0.668537]",6.308244,"[2.825630, 10.225135]"
Industrial-1395,固定先验混合,GeoPRR完整模型,无扰动,三模型等权集成,0.006778,"[-0.004411, 0.018651]",-0.215054,"[-0.469800, 0.000000]"
Industrial-1395,线性增益头,GeoPRR完整模型,无扰动,三模型等权集成,-0.003542,"[-0.013076, 0.006163]",-0.071685,"[-0.323278, 0.156495]"
Industrial-1395,仅极坐标专家,GeoPRR完整模型,无扰动,三模型等权集成,0.053101,"[0.024858, 0.080628]",-0.645161,"[-1.149425, -0.167501]"
Industrial-1395,Raw B0（六条件增强）,GeoPRR完整模型,无扰动,三模型等权集成,1.675792,"[-0.832767, 4.302606]",-6.308244,"[-9.523810, -2.936852]"
Industrial-1395,仅关系专家,GeoPRR完整模型,无扰动,三模型等权集成,-0.007976,"[-0.026365, 0.011147]",-0.071685,"[-0.326532, 0.156253]"
Industrial-1395,11标量MLP门控,GeoPRR完整模型,无扰动,三模型等权集成,0.024415,"[0.011089, 0.039540]",-0.358423,"[-0.659830, -0.080255]"
Industrial-1395,三专家等权混合,GeoPRR完整模型,无扰动,三模型等权集成,0.01177,"[0.001728, 0.022589]",-0.215054,"[-0.469800, 0.000000]"
Industrial-1395,仅几何/基础专家,GeoPRR完整模型,中度模糊,三seed平均,-0.00125,"[-0.019289, 0.017752]",0.167264,"[-0.056022, 0.401614]"
Industrial-1395,简单双视图回归,GeoPRR完整模型,中度模糊,三seed平均,-0.982384,"[-1.458070, -0.524611]",4.563919,"[2.051613, 7.214682]"
Industrial-1395,固定先验混合,GeoPRR完整模型,中度模糊,三seed平均,0.009204,"[-0.001566, 0.020635]",0,"[-0.186090, 0.191306]"
Industrial-1395,线性增益头,GeoPRR完整模型,中度模糊,三seed平均,-0.00637,"[-0.015855, 0.003254]",0.191159,"[0.000000, 0.407832]"
Industrial-1395,仅极坐标专家,GeoPRR完整模型,中度模糊,三seed平均,0.04269,"[0.013453, 0.071730]",-0.430108,"[-0.826086, -0.063978]"
