数据集,方法,评测条件,NMAE（%FS）,RMSE（%FS）,Acc@1%（%）,Acc@2%（%）,Acc@5%（%）
RF100-VL,11标量MLP门控,无扰动,3.323 ± 0.522,6.352 ± 1.645,30.91 ± 2.33,57.40 ± 2.68,84.55 ± 2.68
RF100-VL,三专家等权混合,无扰动,3.319 ± 0.524,6.346 ± 1.647,30.91 ± 2.68,57.84 ± 1.91,84.33 ± 3.06
RF100-VL,固定先验混合,无扰动,3.318 ± 0.523,6.345 ± 1.644,30.91 ± 2.51,58.06 ± 2.13,84.11 ± 2.89
RF100-VL,GeoPRR完整模型,中度模糊,3.171 ± 0.473,6.001 ± 1.574,31.13 ± 4.34,59.16 ± 2.33,86.09 ± 1.75
RF100-VL,线性增益头,中度模糊,3.180 ± 0.470,6.015 ± 1.565,31.13 ± 4.34,58.94 ± 1.99,85.65 ± 2.51
RF100-VL,11标量MLP门控,中度模糊,3.184 ± 0.474,6.015 ± 1.570,30.91 ± 3.40,59.16 ± 2.33,85.65 ± 1.91
RF100-VL,三专家等权混合,中度模糊,3.180 ± 0.475,6.010 ± 1.572,30.46 ± 3.69,58.94 ± 1.99,85.65 ± 1.91
RF100-VL,固定先验混合,中度模糊,3.179 ± 0.476,6.008 ± 1.572,31.13 ± 3.97,59.16 ± 1.67,85.65 ± 1.91
RF100-VL,GeoPRR完整模型,重度模糊,2.945 ± 0.437,5.767 ± 1.634,33.77 ± 3.03,61.15 ± 2.51,87.64 ± 1.91
RF100-VL,线性增益头,重度模糊,2.954 ± 0.433,5.779 ± 1.619,34.22 ± 2.02,61.15 ± 2.51,87.64 ± 1.91
RF100-VL,11标量MLP门控,重度模糊,2.959 ± 0.440,5.780 ± 1.634,34.22 ± 2.68,60.71 ± 2.13,87.64 ± 1.91
RF100-VL,三专家等权混合,重度模糊,2.955 ± 0.441,5.775 ± 1.637,34.22 ± 2.99,60.93 ± 2.29,87.64 ± 1.91
RF100-VL,固定先验混合,重度模糊,2.953 ± 0.447,5.773 ± 1.642,34.00 ± 3.40,60.93 ± 2.29,87.64 ± 1.91
RF100-VL,GeoPRR完整模型,中度透视,3.065 ± 0.263,5.425 ± 1.220,31.35 ± 2.68,54.75 ± 2.02,85.65 ± 1.67
RF100-VL,线性增益头,中度透视,3.080 ± 0.245,5.440 ± 1.200,30.02 ± 2.99,54.53 ± 1.53,85.65 ± 1.67
RF100-VL,11标量MLP门控,中度透视,3.079 ± 0.246,5.429 ± 1.206,30.68 ± 2.99,54.53 ± 1.53,85.65 ± 1.67
RF100-VL,三专家等权混合,中度透视,3.211 ± 0.346,5.583 ± 1.278,30.91 ± 4.65,51.88 ± 2.02,84.77 ± 1.15
RF100-VL,固定先验混合,中度透视,3.169 ± 0.314,5.522 ± 1.254,32.01 ± 5.31,51.66 ± 2.39,84.99 ± 0.76
RF100-VL,GeoPRR完整模型,重度透视,3.254 ± 0.327,5.493 ± 0.804,29.14 ± 2.65,52.76 ± 1.01,83.89 ± 2.02
RF100-VL,线性增益头,重度透视,3.269 ± 0.311,5.495 ± 0.792,28.70 ± 3.33,53.20 ± 0.76,83.89 ± 2.02
RF100-VL,11标量MLP门控,重度透视,3.278 ± 0.315,5.508 ± 0.808,27.81 ± 3.03,52.32 ± 1.15,83.66 ± 2.13
RF100-VL,三专家等权混合,重度透视,4.110 ± 0.415,6.533 ± 0.735,23.62 ± 5.06,41.06 ± 5.26,76.38 ± 2.51
