数据集,方法,评测条件,NMAE（%FS）,RMSE（%FS）,Acc@1%（%）,Acc@2%（%）,Acc@5%（%）
Industrial-1395,GeoPRR目标监督OOF,六条件总体,2.721 ± 0.050,4.620 ± 0.172,43.80 ± 0.84,56.44 ± 1.55,81.91 ± 0.41
Industrial-1395,GeoPRR目标监督OOF,无扰动,2.717 ± 0.145,4.629 ± 0.216,44.30 ± 1.26,56.51 ± 1.90,81.94 ± 0.94
Industrial-1395,GeoPRR目标监督OOF,中度模糊,2.688 ± 0.144,4.580 ± 0.180,44.68 ± 1.66,57.01 ± 2.85,82.22 ± 1.34
Industrial-1395,GeoPRR目标监督OOF,重度模糊,2.674 ± 0.161,4.534 ± 0.199,44.28 ± 1.21,57.16 ± 2.12,82.32 ± 1.97
Industrial-1395,GeoPRR目标监督OOF,中度透视,2.559 ± 0.078,4.426 ± 0.161,45.62 ± 2.17,58.18 ± 3.06,83.46 ± 0.53
Industrial-1395,GeoPRR目标监督OOF,重度透视,2.884 ± 0.118,4.825 ± 0.347,41.27 ± 0.97,54.81 ± 0.49,80.53 ± 1.04
Industrial-1395,GeoPRR目标监督OOF,重度复合扰动,2.807 ± 0.195,4.695 ± 0.427,42.65 ± 1.44,54.96 ± 1.72,81.00 ± 1.99
