GeoPRR补充实验结果（均值 ± 标准差）,,,,,,,,
常规结果为六条件总体；按实验分区阅读，各区使用自身表头。,,,,,,,,
,,,,,,,,
E14 完整模型｜六条件总体,,,,,,,,
RF100-VL,固定先验混合,3.399 ± 0.324,6.111 ± 1.130,29.73 ± 1.07,53.02 ± 1.47,83.15 ± 1.32,,
Industrial-1395,GeoPRR完整模型,11.620 ± 1.608,19.382 ± 3.170,9.97 ± 1.15,24.09 ± 2.83,51.87 ± 3.51,,
Industrial-1395,线性增益头,11.616 ± 1.600,19.383 ± 3.154,10.06 ± 1.27,24.13 ± 2.81,51.98 ± 3.44,,
Industrial-1395,11标量MLP门控,11.635 ± 1.611,19.390 ± 3.178,10.00 ± 1.36,23.88 ± 2.81,51.78 ± 3.38,,
Industrial-1395,三专家等权混合,12.112 ± 1.807,19.254 ± 3.271,8.18 ± 0.28,19.68 ± 1.27,47.16 ± 3.34,,
Industrial-1395,固定先验混合,11.956 ± 1.791,19.207 ± 3.278,8.38 ± 0.39,20.08 ± 1.61,48.25 ± 3.43,,
,,,,,,,,
C4 增强匹配｜六条件总体,,,,,,,,
数据集,方法,NMAE（%FS）,RMSE（%FS）,Acc@1%（%）,Acc@2%（%）,Acc@5%（%）,,
SyncG,GeoPRR完整模型,0.740 ± 0.022,1.760 ± 0.048,81.38 ± 0.78,93.90 ± 0.29,98.90 ± 0.04,,
SyncG,Raw B0（六条件增强）,0.726 ± 0.007,1.953 ± 0.063,81.81 ± 0.24,95.14 ± 0.13,99.21 ± 0.08,,
RF100-VL,GeoPRR完整模型,3.191 ± 0.257,5.891 ± 1.108,30.32 ± 1.21,56.07 ± 0.88,85.28 ± 0.23,,
RF100-VL,Raw B0（六条件增强）,4.161 ± 0.611,7.592 ± 1.189,27.63 ± 1.75,50.33 ± 2.84,76.56 ± 3.81,,
Industrial-1395,GeoPRR完整模型,11.620 ± 1.608,19.382 ± 3.170,9.97 ± 1.15,24.09 ± 2.83,51.87 ± 3.51,,
Industrial-1395,Raw B0（六条件增强）,14.388 ± 2.193,21.542 ± 2.537,7.56 ± 1.27,19.41 ± 1.17,42.62 ± 3.42,,
,,,,,,,,
C13 目标域OOF｜六条件总体,,,,,,,,
数据集,方法,NMAE（%FS）,RMSE（%FS）,Acc@1%（%）,Acc@2%（%）,Acc@5%（%）,,
Industrial-1395,GeoPRR目标监督OOF,2.721 ± 0.050,4.620 ± 0.172,43.80 ± 0.84,56.44 ± 1.55,81.91 ± 0.41,,
,,,,,,,,
三模型等权集成｜六条件总体,,,,,,,,
数据集,方法,NMAE（%FS）,RMSE（%FS）,Acc@1%（%）,Acc@2%（%）,Acc@5%（%）,,
SyncG,GeoPRR完整模型,0.638,1.61,85.37,95.44,99.02,,
SyncG,仅几何/基础专家,0.694,1.638,82.89,94.85,99.02,,
SyncG,简单双视图回归,0.614,1.512,85.6,95.52,99.2,,
SyncG,仅极坐标专家,1.503,3.283,61.42,78.29,94.72,,
SyncG,仅关系专家,0.642,1.608,85.4,95.44,99.05,,
SyncG,去几何融合,1.148,2.307,65.64,84.1,97.38,,
SyncG,去几何融合+固定路由,1.273,2.56,62.63,81.61,96.72,,
SyncG,去关系传输,0.691,1.646,82.86,94.66,98.98,,
SyncG,去极坐标证据,0.648,1.609,85.16,95.43,99.04,,
SyncG,线性增益头,0.639,1.61,85.44,95.41,99.02,,
SyncG,11标量MLP门控,0.636,1.609,85.55,95.42,99.03,,
SyncG,三专家等权混合,0.863,1.923,76.24,92.04,98.3,,
SyncG,固定先验混合,0.803,1.816,78.53,93.07,98.58,,
SyncG,Raw B0（六条件增强）,0.65,1.81,85.69,96.03,99.28,,
RF100-VL,GeoPRR完整模型,2.978,5.251,32.12,56.73,86.53,,
RF100-VL,仅几何/基础专家,3.025,5.334,31.9,54.97,85.43,,
RF100-VL,简单双视图回归,2.915,5.057,30.79,56.07,85.43,,
RF100-VL,仅极坐标专家,4.169,7.025,26.05,45.03,76.27,,
RF100-VL,仅关系专家,2.971,5.246,31.35,56.07,86.31,,
RF100-VL,线性增益头,2.984,5.255,32.34,56.4,86.31,,
RF100-VL,11标量MLP门控,2.99,5.261,32.01,56.29,86.31,,
RF100-VL,三专家等权混合,3.237,5.562,29.47,52.98,83.77,,
RF100-VL,固定先验混合,3.161,5.472,30.57,53.42,84,,
RF100-VL,Raw B0（六条件增强）,3.877,6.749,30.46,52.87,77.04,,
Industrial-1395,GeoPRR完整模型,11.281,17.945,9.12,23.05,50.29,,
Industrial-1395,仅几何/基础专家,11.298,17.883,8.52,21.19,49.59,,
Industrial-1395,简单双视图回归,9.984,16.672,10.22,31.17,56.56,,
Industrial-1395,仅极坐标专家,13.367,19.346,6.97,15.7,38.61,,
Industrial-1395,仅关系专家,11.266,17.944,9.28,23.73,50.3,,
Industrial-1395,线性增益头,11.279,17.946,9.22,22.96,50.27,,
Industrial-1395,11标量MLP门控,11.299,17.958,9.08,22.87,50.08,,
Industrial-1395,三专家等权混合,11.845,17.996,7.92,18.34,44.29,,
Industrial-1395,固定先验混合,11.689,17.93,8.2,18.67,45.66,,
Industrial-1395,Raw B0（六条件增强）,13.895,20.326,6,18.06,41.19,,
Industrial-1395,GeoPRR目标监督OOF,2.448,4.086,45.17,59.39,84.06,,
,,,,,,,,
E20 路由权重,,,,,,,,
数据集,方法,评测条件,基础专家权重,极坐标专家权重,关系专家权重,归一化路由熵,最大权重>0.95占比（%）,
SyncG,GeoPRR完整模型,六条件总体,0.391 ± 0.008,0.231 ± 0.005,0.378 ± 0.009,0.827 ± 0.005,0.79 ± 0.15,
SyncG,线性增益头,六条件总体,0.394 ± 0.008,0.230 ± 0.004,0.375 ± 0.009,0.831 ± 0.003,0.99 ± 0.13,
SyncG,11标量MLP门控,六条件总体,0.358 ± 0.006,0.217 ± 0.005,0.425 ± 0.006,0.819 ± 0.004,0.38 ± 0.14,
SyncG,三专家等权混合,六条件总体,0.333 ± 0.000,0.333 ± 0.000,0.333 ± 0.000,1.000 ± 0.000,0.00 ± 0.00,
SyncG,固定先验混合,六条件总体,0.500 ± 0.000,0.250 ± 0.000,0.250 ± 0.000,0.946 ± 0.000,0.00 ± 0.00,
SyncG,GeoPRR完整模型,无扰动,0.444 ± 0.008,0.372 ± 0.012,0.185 ± 0.004,0.930 ± 0.005,0.00 ± 0.00,
SyncG,GeoPRR完整模型,中度模糊,0.444 ± 0.008,0.371 ± 0.011,0.185 ± 0.003,0.931 ± 0.004,0.00 ± 0.00,
SyncG,GeoPRR完整模型,重度模糊,0.445 ± 0.007,0.370 ± 0.011,0.185 ± 0.003,0.930 ± 0.003,0.00 ± 0.00,
