数据集,方法,评测条件,NMAE（%FS）,RMSE（%FS）,Acc@1%（%）,Acc@2%（%）,Acc@5%（%）
SyncG,简单双视图回归,中度透视,0.740 ± 0.011,1.942 ± 0.080,80.43 ± 0.06,94.17 ± 0.34,99.30 ± 0.02
SyncG,仅极坐标专家,中度透视,1.396 ± 0.009,2.584 ± 0.023,49.13 ± 1.51,80.26 ± 0.32,98.00 ± 0.35
SyncG,仅关系专家,中度透视,0.731 ± 0.016,1.966 ± 0.032,80.97 ± 0.62,93.89 ± 0.35,99.23 ± 0.06
SyncG,去几何融合,中度透视,1.173 ± 0.041,2.258 ± 0.089,56.18 ± 2.98,86.71 ± 0.93,98.73 ± 0.07
SyncG,去几何融合+固定路由,中度透视,1.260 ± 0.035,2.345 ± 0.071,51.93 ± 2.32,84.47 ± 1.50,98.57 ± 0.07
SyncG,去关系传输,中度透视,0.796 ± 0.024,1.974 ± 0.033,77.39 ± 1.16,93.52 ± 0.79,99.23 ± 0.09
SyncG,去极坐标证据,中度透视,0.736 ± 0.015,1.960 ± 0.031,80.83 ± 0.85,94.15 ± 0.35,99.24 ± 0.09
SyncG,固定先验混合,中度透视,0.818 ± 0.021,2.013 ± 0.044,77.02 ± 0.63,93.36 ± 0.87,99.13 ± 0.13
SyncG,GeoPRR完整模型,重度透视,0.880 ± 0.017,2.038 ± 0.075,76.83 ± 0.68,91.38 ± 0.37,98.31 ± 0.13
SyncG,仅几何/基础专家,重度透视,0.982 ± 0.011,2.092 ± 0.088,70.58 ± 0.00,90.03 ± 0.12,98.13 ± 0.15
SyncG,简单双视图回归,重度透视,0.860 ± 0.025,1.971 ± 0.061,76.39 ± 0.75,91.86 ± 0.24,98.57 ± 0.15
SyncG,仅极坐标专家,重度透视,3.209 ± 0.132,5.531 ± 0.200,24.31 ± 2.69,46.21 ± 3.56,84.62 ± 1.47
SyncG,仅关系专家,重度透视,0.882 ± 0.015,2.042 ± 0.075,77.08 ± 0.77,91.30 ± 0.64,98.28 ± 0.11
SyncG,去几何融合,重度透视,2.160 ± 0.132,3.545 ± 0.127,34.40 ± 3.72,60.81 ± 4.56,93.14 ± 0.75
SyncG,去几何融合+固定路由,重度透视,2.470 ± 0.139,4.051 ± 0.153,28.97 ± 3.35,54.57 ± 4.61,91.14 ± 0.70
SyncG,去关系传输,重度透视,0.994 ± 0.010,2.109 ± 0.085,70.22 ± 0.21,89.57 ± 0.24,98.14 ± 0.18
SyncG,去极坐标证据,重度透视,0.880 ± 0.015,2.035 ± 0.074,76.87 ± 0.43,91.52 ± 0.25,98.27 ± 0.14
SyncG,固定先验混合,重度透视,1.268 ± 0.036,2.494 ± 0.103,60.23 ± 2.53,85.42 ± 0.83,96.95 ± 0.25
SyncG,GeoPRR完整模型,重度复合扰动,1.025 ± 0.019,2.470 ± 0.082,73.23 ± 0.65,89.13 ± 0.33,97.63 ± 0.09
SyncG,仅几何/基础专家,重度复合扰动,1.140 ± 0.019,2.542 ± 0.094,67.18 ± 0.38,87.48 ± 0.11,97.47 ± 0.05
SyncG,简单双视图回归,重度复合扰动,0.986 ± 0.034,2.339 ± 0.152,73.00 ± 1.11,89.69 ± 0.27,98.11 ± 0.08
SyncG,仅极坐标专家,重度复合扰动,3.439 ± 0.127,5.991 ± 0.207,23.53 ± 2.83,44.47 ± 3.01,82.73 ± 1.44
SyncG,仅关系专家,重度复合扰动,1.024 ± 0.020,2.472 ± 0.082,73.55 ± 0.87,89.11 ± 0.45,97.53 ± 0.14
SyncG,去几何融合,重度复合扰动,2.324 ± 0.117,3.903 ± 0.122,33.18 ± 3.61,58.63 ± 4.01,91.95 ± 0.61
SyncG,去几何融合+固定路由,重度复合扰动,2.662 ± 0.126,4.434 ± 0.151,28.04 ± 3.39,52.66 ± 4.10,89.43 ± 0.65
SyncG,去关系传输,重度复合扰动,1.162 ± 0.019,2.567 ± 0.091,65.99 ± 0.42,87.02 ± 0.38,97.47 ± 0.08
SyncG,去极坐标证据,重度复合扰动,1.026 ± 0.018,2.471 ± 0.081,73.33 ± 0.53,89.28 ± 0.44,97.57 ± 0.15
SyncG,固定先验混合,重度复合扰动,1.463 ± 0.033,2.913 ± 0.120,55.30 ± 1.41,82.04 ± 0.89,95.96 ± 0.34
RF100-VL,GeoPRR完整模型,六条件总体,3.191 ± 0.257,5.891 ± 1.108,30.32 ± 1.21,56.07 ± 0.88,85.28 ± 0.23
RF100-VL,仅几何/基础专家,六条件总体,3.246 ± 0.303,5.963 ± 1.141,30.32 ± 2.15,55.56 ± 1.15,84.84 ± 0.89
RF100-VL,简单双视图回归,六条件总体,3.264 ± 0.234,5.966 ± 1.113,27.08 ± 1.56,53.86 ± 1.01,84.18 ± 1.24
RF100-VL,仅极坐标专家,六条件总体,4.616 ± 0.554,8.189 ± 1.239,23.73 ± 0.98,44.33 ± 3.70,74.39 ± 2.75
RF100-VL,仅关系专家,六条件总体,3.198 ± 0.248,5.891 ± 1.093,30.10 ± 1.86,55.92 ± 0.06,84.99 ± 0.11
RF100-VL,固定先验混合,六条件总体,3.399 ± 0.324,6.111 ± 1.130,29.73 ± 1.07,53.02 ± 1.47,83.15 ± 1.32
RF100-VL,GeoPRR完整模型,无扰动,3.308 ± 0.524,6.337 ± 1.653,30.91 ± 2.99,57.84 ± 2.51,84.77 ± 2.89
RF100-VL,仅几何/基础专家,无扰动,3.315 ± 0.520,6.341 ± 1.637,30.68 ± 3.27,58.06 ± 1.38,84.11 ± 2.89
RF100-VL,简单双视图回归,无扰动,3.416 ± 0.442,6.499 ± 1.871,28.70 ± 2.99,56.51 ± 4.21,83.66 ± 3.27
RF100-VL,仅极坐标专家,无扰动,3.335 ± 0.537,6.363 ± 1.667,30.24 ± 1.53,57.84 ± 3.65,84.77 ± 2.89
RF100-VL,仅关系专家,无扰动,3.315 ± 0.520,6.341 ± 1.637,30.68 ± 3.27,58.06 ± 1.38,84.11 ± 2.89
RF100-VL,固定先验混合,无扰动,3.318 ± 0.523,6.345 ± 1.644,30.91 ± 2.51,58.06 ± 2.13,84.11 ± 2.89
RF100-VL,GeoPRR完整模型,中度模糊,3.171 ± 0.473,6.001 ± 1.574,31.13 ± 4.34,59.16 ± 2.33,86.09 ± 1.75
RF100-VL,仅几何/基础专家,中度模糊,3.174 ± 0.479,6.003 ± 1.574,32.23 ± 3.65,58.94 ± 1.75,85.65 ± 1.91
RF100-VL,简单双视图回归,中度模糊,3.293 ± 0.401,6.263 ± 1.753,29.36 ± 2.51,56.07 ± 3.27,83.44 ± 2.39
RF100-VL,仅极坐标专家,中度模糊,3.197 ± 0.476,6.028 ± 1.571,29.80 ± 1.75,57.62 ± 4.03,85.65 ± 2.51
RF100-VL,仅关系专家,中度模糊,3.174 ± 0.479,6.003 ± 1.574,32.23 ± 3.65,58.94 ± 1.75,85.65 ± 1.91
RF100-VL,固定先验混合,中度模糊,3.179 ± 0.476,6.008 ± 1.572,31.13 ± 3.97,59.16 ± 1.67,85.65 ± 1.91
RF100-VL,GeoPRR完整模型,重度模糊,2.945 ± 0.437,5.767 ± 1.634,33.77 ± 3.03,61.15 ± 2.51,87.64 ± 1.91
RF100-VL,仅几何/基础专家,重度模糊,2.947 ± 0.465,5.767 ± 1.658,34.44 ± 4.78,61.37 ± 1.67,87.42 ± 1.75
RF100-VL,简单双视图回归,重度模糊,3.083 ± 0.380,6.135 ± 1.744,30.46 ± 2.39,57.17 ± 2.51,86.09 ± 1.75
RF100-VL,仅极坐标专家,重度模糊,2.976 ± 0.398,5.796 ± 1.597,32.23 ± 1.91,60.26 ± 5.00,87.64 ± 1.91
RF100-VL,仅关系专家,重度模糊,2.947 ± 0.465,5.767 ± 1.658,34.44 ± 4.78,61.37 ± 1.67,87.42 ± 1.75
RF100-VL,固定先验混合,重度模糊,2.953 ± 0.447,5.773 ± 1.642,34.00 ± 3.40,60.93 ± 2.29,87.64 ± 1.91
