method,seed,preprocessing,cohort,cohort_name,cohort_images,group_unit,scope,conditions,groups,rows,pooled_coverage,pooled_nmae,pooled_rmse,pooled_acc_at_1_percent,pooled_acc_at_2_percent,pooled_acc_at_5_percent,pooled_p95_absolute_error,pooled_p99_absolute_error,pooled_maximum_absolute_error,group_macro_coverage,group_macro_nmae,group_macro_rmse,group_macro_acc_at_1_percent,group_macro_acc_at_2_percent,group_macro_acc_at_5_percent,group_macro_p95_absolute_error,group_macro_p99_absolute_error,group_macro_maximum_absolute_error
GeoPRR-Net,20262021,dual_view,industrial_1395,Industrial-1395,1395,acquisition cluster,blur_moderate,blur_moderate,52,1395,1.0,0.13603423067426026,0.21329445076447523,0.09462365591397849,0.22724014336917564,0.4444444444444444,0.4909192138910293,0.6775641596317277,0.8940815925598145,1.0,0.16426549625193365,0.19575952886275727,0.06875855146467058,0.16120140557818136,0.3242247057355501,0.32014805165410326,0.37172651811722945,0.39288572579335707
GeoPRR-Net,20262021,dual_view,industrial_1395,Industrial-1395,1395,acquisition cluster,blur_severe,blur_severe,52,1395,1.0,0.1408814688336981,0.21930776699773474,0.09175627240143369,0.21362007168458783,0.42724014336917565,0.5192917346954345,0.680047664642334,0.9334620237350464,1.0,0.16633825295189053,0.19792294754235057,0.06851419083214307,0.1532029892804122,0.3150474741101071,0.3238942257524874,0.3737406670410157,0.39153392793419656
GeoPRR-Net,20262021,dual_view,industrial_1395,Industrial-1395,1395,acquisition cluster,perspective_moderate,perspective_moderate,52,1395,1.0,0.1261053994517671,0.2027221421830011,0.12688172043010754,0.24014336917562723,0.45949820788530465,0.4761891794204711,0.726273558139801,0.8751400709152222,1.0,0.15274497670527673,0.18732856780641402,0.09459769173149159,0.16966844291994693,0.3709696188491061,0.31979318758404973,0.3736622642785215,0.38986859028155985
GeoPRR-Net,20262021,dual_view,industrial_1395,Industrial-1395,1395,acquisition cluster,perspective_severe,perspective_severe,52,1395,1.0,0.13549109255966463,0.20608295638529017,0.1053763440860215,0.2064516129032258,0.4243727598566308,0.45749120990435266,0.6783630967140196,0.8987669944763184,1.0,0.15725482302312063,0.18983412380533038,0.07926425482394649,0.15456775786737376,0.33723787685648376,0.32145863423494575,0.3694747516858386,0.3878402507263117
GeoPRR-Net,20262021,dual_view,industrial_1395,Industrial-1395,1395,acquisition cluster,combined_severe,combined_severe,52,1395,1.0,0.12682039516838603,0.18995686141922347,0.09247311827956989,0.17992831541218637,0.4129032258064516,0.42444482922554005,0.6131150317192078,0.8318588733673096,1.0,0.1505896325802045,0.18239108437536736,0.06814029556387233,0.13344094594978975,0.32471414311168634,0.3086538715545088,0.3629335977675746,0.3816154252527616
GeoPRR-Net,20262021,dual_view,industrial_1395,Industrial-1395,1395,acquisition cluster,projective_pooled,perspective_moderate;perspective_severe;combined_severe,52,4185,1.0,0.12947229572660593,0.19970817129335527,0.1082437275985663,0.20884109916367982,0.432258064516129,0.45161379575729366,0.6784275698661804,0.8987669944763184,1.0,0.15352981076953395,0.18761260786620954,0.08066741403977014,0.15255904891237015,0.34430721293909206,0.3380679599855094,0.4051469744385435,0.42596054221001955
GeoPRR-Net,20262022,dual_view,industrial_1395,Industrial-1395,1395,acquisition cluster,all_conditions,clean;blur_moderate;blur_severe;perspective_moderate;perspective_severe;combined_severe,52,8370,1.0,0.13452073836005493,0.20652160190292057,0.07562724014336918,0.16606929510155316,0.4212664277180406,0.49474024772644004,0.6459227186441417,0.9127380847930908,1.0,0.16828515192934082,0.1937097849891424,0.05601489127480919,0.12053427123383369,0.29889909316275953,0.3139223252002914,0.3826845036606606,0.41680846585256925
GeoPRR-Net,20262022,dual_view,industrial_1395,Industrial-1395,1395,acquisition cluster,clean,clean,52,1395,1.0,0.1348115340198418,0.2116010448089713,0.08028673835125448,0.17634408602150536,0.43799283154121865,0.5241507709026336,0.6774698722362518,0.7959608435630798,1.0,0.16932179890045373,0.1914208699984556,0.0550920829319756,0.11840816128853861,0.30459460516077164,0.28609435616102163,0.32553736490390617,0.3421325967107446
GeoPRR-Net,20262022,dual_view,industrial_1395,Industrial-1395,1395,acquisition cluster,blur_moderate,blur_moderate,52,1395,1.0,0.1347263258112018,0.21114357189255337,0.07741935483870968,0.17491039426523297,0.43154121863799283,0.5187301278114316,0.6696718645095819,0.7959990501403809,1.0,0.1712394777499386,0.19187999439049522,0.05118279777269044,0.11738628643765146,0.28851789151558604,0.2834721994208888,0.3229439937107761,0.3396227994608955
GeoPRR-Net,20262022,dual_view,industrial_1395,Industrial-1395,1395,acquisition cluster,blur_severe,blur_severe,52,1395,1.0,0.13976272965311967,0.21524107427382685,0.07096774193548387,0.15483870967741936,0.42007168458781363,0.5117598176002502,0.6750663709640503,0.8350533246994019,1.0,0.17676559184545296,0.19839123473385425,0.05307402669880309,0.10949019700774601,0.27944754794849824,0.29342396580357194,0.33593867134286803,0.35315550661621953
GeoPRR-Net,20262022,dual_view,industrial_1395,Industrial-1395,1395,acquisition cluster,perspective_moderate,perspective_moderate,52,1395,1.0,0.12653270141149614,0.1966371524267878,0.07670250896057347,0.16057347670250896,0.43584229390681006,0.48492442369461064,0.6337031733989715,0.9127380847930908,1.0,0.15659934580049445,0.18073924320809276,0.050287170591285076,0.11037814344416175,0.3148729194019551,0.28534289359738807,0.33067386658340686,0.3478505290051301
