comparison,dataset,scope,candidate_nmae_pct_fs,reference_nmae_pct_fs,candidate_minus_reference_pct_fs,relative_error_reduction_pct,acc_at_2_gain_percentage_points,acc_at_5_gain_percentage_points
geoprr_minus_resnet18,syncg,all_conditions,0.7406831818034855,2.4913783675129566,-1.7506951857094712,70.27014477359857,23.420833333333334,12.979166666666686
geoprr_minus_efficientnet_b0,syncg,all_conditions,0.7406831818034855,1.6594963879841056,-0.9188132061806201,55.3669904215194,17.813888888888897,4.941666666666663
geoprr_minus_mobilenet_v3_large,syncg,all_conditions,0.7406831818034855,2.333959102021563,-1.5932759202180775,68.2649459811896,23.251388888888897,10.798611111111114
geoprr_minus_yolo,syncg,all_conditions,0.7406831818034855,5.747765564792487,-5.007082382989001,87.11354571695676,25.858333333333334,16.65416666666667
geoprr_minus_vdn,syncg,all_conditions,0.7406831818034855,5.0128777196393175,-4.272194537835832,85.22439159244485,27.497222222222234,15.527777777777771
geoprr_minus_deeplab,syncg,all_conditions,0.7406831818034855,10.275702103896574,-9.535018922093089,92.7918970955511,25.825000000000017,18.872222222222234
geoprr_minus_resnet18,syncg,clean,0.5943754074958534,0.6153662492897615,-0.020990841793908088,3.4111135958683354,1.0833333333333286,0.45000000000000284
geoprr_minus_efficientnet_b0,syncg,clean,0.5943754074958534,0.6176217156104666,-0.023246308114613257,3.763842417949352,0.10833333333332007,-0.025000000000005684
geoprr_minus_mobilenet_v3_large,syncg,clean,0.5943754074958534,0.6918110633423075,-0.09743565584645408,14.084142478976664,1.5916666666666686,0.24166666666667425
geoprr_minus_yolo,syncg,clean,0.5943754074958534,0.5126651848584897,0.08171022263736372,-15.938320964767305,-1.5166666666666515,-0.25
geoprr_minus_vdn,syncg,clean,0.5943754074958534,0.9476681806384113,-0.3532927731425579,37.280219000764255,6.241666666666674,0.4416666666666629
geoprr_minus_deeplab,syncg,clean,0.5943754074958534,0.45939670514580055,0.13497870235005283,-29.38173061280753,-2.2583333333333258,-0.3333333333333428
geoprr_minus_resnet18,syncg,blur_moderate,0.5937024102234545,0.619421384740809,-0.025718974517354498,4.152096642274687,1.0,0.4416666666666913
geoprr_minus_efficientnet_b0,syncg,blur_moderate,0.5937024102234545,0.6171220319525544,-0.02341962172909995,3.794974173098473,0.10833333333333428,-0.01666666666665151
geoprr_minus_mobilenet_v3_large,syncg,blur_moderate,0.5937024102234545,0.6910667513074349,-0.0973643410839804,14.08899225722783,1.6916666666666629,0.25
geoprr_minus_yolo,syncg,blur_moderate,0.5937024102234545,0.5294451618141234,0.06425724840933111,-12.136714629548438,-1.4416666666666629,-0.3083333333333087
geoprr_minus_vdn,syncg,blur_moderate,0.5937024102234545,0.9636657653232966,-0.36996335509984213,38.391252279852914,6.391666666666666,0.5416666666666714
geoprr_minus_deeplab,syncg,blur_moderate,0.5937024102234545,0.4583954911528957,0.1353069190705588,-29.517506537913963,-2.2083333333333286,-0.4083333333333172
geoprr_minus_resnet18,syncg,blur_severe,0.6138011081496481,0.642998076042016,-0.02919696789236792,4.5407550940261405,1.02500000000002,0.5166666666666657
geoprr_minus_efficientnet_b0,syncg,blur_severe,0.6138011081496481,0.637514297257325,-0.023713189107676946,3.7196325179991065,-0.008333333333325754,-0.01666666666665151
geoprr_minus_mobilenet_v3_large,syncg,blur_severe,0.6138011081496481,0.7158032053280443,-0.10200209717839626,14.250019617004911,1.64166666666668,0.3333333333333286
geoprr_minus_yolo,syncg,blur_severe,0.6138011081496481,0.6562547661609559,-0.04245365801130785,6.469081856678733,-0.5666666666666629,-0.0999999999999801
geoprr_minus_vdn,syncg,blur_severe,0.6138011081496481,1.2537386327453792,-0.6399375245957312,51.04233911931272,8.966666666666669,1.40000000000002
geoprr_minus_deeplab,syncg,blur_severe,0.6138011081496481,0.5747547965343403,0.039046311615307805,-6.79355994082163,-1.4499999999999886,-0.3333333333333286
geoprr_minus_resnet18,syncg,perspective_moderate,0.7384504876386806,1.7287715648256388,-0.9903210771869582,57.28466949228427,19.116666666666646,3.575000000000003
geoprr_minus_efficientnet_b0,syncg,perspective_moderate,0.7384504876386806,1.44478799829397,-0.7063375106552894,48.88866127690323,15.258333333333326,1.2000000000000028
geoprr_minus_mobilenet_v3_large,syncg,perspective_moderate,0.7384504876386806,1.7295277741404147,-0.9910772865017341,57.30334611101029,20.841666666666654,3.4250000000000114
geoprr_minus_yolo,syncg,perspective_moderate,0.7384504876386806,1.6531257422110848,-0.9146752545724042,55.33004726845581,21.77499999999999,2.6000000000000227
geoprr_minus_vdn,syncg,perspective_moderate,0.7384504876386806,1.3085470357547673,-0.5700965481160867,43.56714222253816,12.091666666666654,0.966666666666697
geoprr_minus_deeplab,syncg,perspective_moderate,0.7384504876386806,1.9284211216895188,-1.1899706340508382,61.706990276495574,24.633333333333326,2.5416666666666856
geoprr_minus_resnet18,syncg,perspective_severe,0.8787467073481026,5.514728600361272,-4.635981893013169,84.06545868294343,59.558333333333316,36.01666666666667
geoprr_minus_efficientnet_b0,syncg,perspective_severe,0.8787467073481026,3.2124326526095497,-2.333685945261447,72.6454434263619,46.24999999999999,13.675000000000011
geoprr_minus_mobilenet_v3_large,syncg,perspective_severe,0.8787467073481026,4.929386369891963,-4.050639662543861,82.17330431399392,57.39999999999999,29.53333333333333
geoprr_minus_yolo,syncg,perspective_severe,0.8787467073481026,13.265875789622358,-12.387129082274255,93.37588621148157,67.76666666666665,45.858333333333334
geoprr_minus_vdn,syncg,perspective_severe,0.8787467073481026,10.463477234898612,-9.584730527550509,91.601771690034,65.61666666666666,42.61666666666667
geoprr_minus_deeplab,syncg,perspective_severe,0.8787467073481026,25.979116303141677,-25.100369595793573,96.61748807351913,67.6,53.60000000000001
