family,method,dataset,scope,seeds,nmae_pct_fs_mean,nmae_pct_fs_sample_sd,acc_at_2_pct_mean,acc_at_2_pct_sample_sd,acc_at_5_pct_mean,acc_at_5_pct_sample_sd,coverage_pct_mean,coverage_pct_sample_sd,failures_mean,failures_sample_sd
main,resnet18,industrial,all_conditions,3,22.020144475849666,0.9946623499148637,10.665073675826365,1.7039371625228548,24.508164078056552,3.200692837947421,100.0,0.0,0.0,0.0
main,resnet18,industrial,clean,3,17.0253763649807,0.8460246018391622,15.818399044205497,1.2628157956247363,36.6547192353644,3.373240385922077,100.0,0.0,0.0,0.0
main,resnet18,industrial,blur_moderate,3,17.02504840471708,0.8994366364363992,16.176821983273594,1.4360792546061378,36.72640382317801,2.9697959519925683,100.0,0.0,0.0,0.0
main,resnet18,industrial,blur_severe,3,17.474987192088417,1.0516169666505926,16.487455197132615,2.7938602537498314,36.43966547192354,2.0805003155116135,100.0,0.0,0.0,0.0
main,resnet18,industrial,perspective_moderate,3,21.682767770044222,1.1930947915082835,9.534050179211471,2.8376595574035104,23.369175627240143,6.561783355867683,100.0,0.0,0.0,0.0
main,resnet18,industrial,perspective_severe,3,28.712847296344197,2.4859039166162495,3.106332138590203,1.1829767067609622,7.144563918757466,2.729040197900929,100.0,0.0,0.0,0.0
main,resnet18,industrial,combined_severe,3,30.199839826923398,2.1291752483874893,2.8673835125448033,1.5964915735713328,6.714456391875747,2.9032995550908596,100.0,0.0,0.0,0.0
main,resnet18,industrial,perspective_pair,3,25.197807533194208,1.4858341536094486,6.320191158900836,1.8086453842847816,15.256869772998806,4.104894684354569,100.0,0.0,0.0,0.0
main,resnet18,industrial,projective_three,3,26.86515163110394,1.645831520427949,5.169255276782159,1.6832456643335545,12.409398645957786,3.616290957306852,100.0,0.0,0.0,0.0
main,efficientnet_b0,industrial,all_conditions,3,13.691356237660733,2.4021207959832553,17.005177220230983,1.3382367524767707,41.40183193946635,4.167056688508601,100.0,0.0,0.0,0.0
main,efficientnet_b0,industrial,clean,3,12.229215720369195,2.114578099755241,23.249701314217447,2.588928694056271,52.32974910394265,2.6319082079836305,100.0,0.0,0.0,0.0
main,efficientnet_b0,industrial,blur_moderate,3,12.187103451979704,2.1190426433225955,23.918757467144562,2.336448414034816,52.449223416965346,2.3309435408854875,100.0,0.0,0.0,0.0
main,efficientnet_b0,industrial,blur_severe,3,12.311383579473471,2.3575559913205906,23.416965352449225,2.0456291255268337,52.090800477897254,2.329841005447746,100.0,0.0,0.0,0.0
main,efficientnet_b0,industrial,perspective_moderate,3,11.503035881319862,1.4697480433787378,14.671445639187574,1.8420753999720947,44.87455197132616,6.288662996261307,100.0,0.0,0.0,0.0
main,efficientnet_b0,industrial,perspective_severe,3,17.10995252965777,3.064480494015884,8.55436081242533,1.33212519615449,23.082437275985665,5.279899592349905,100.0,0.0,0.0,0.0
main,efficientnet_b0,industrial,combined_severe,3,16.80744626316439,3.429291691130615,8.219832735961768,2.007595107411706,23.584229390681003,6.828121617221537,100.0,0.0,0.0,0.0
main,efficientnet_b0,industrial,perspective_pair,3,14.306494205488818,2.233688649287227,11.61290322580645,1.478250224179303,33.97849462365591,5.575867596758785,100.0,0.0,0.0,0.0
main,efficientnet_b0,industrial,projective_three,3,15.140144891380677,2.6296509409344266,10.481879729191556,1.6458571367101462,30.513739545997613,5.967834620042005,100.0,0.0,0.0,0.0
main,mobilenet_v3_large,industrial,all_conditions,3,16.437110517420262,4.679174932974803,14.994026284348864,2.447561869018281,33.73556352050976,6.635551430900138,100.0,0.0,0.0,0.0
main,mobilenet_v3_large,industrial,clean,3,14.776480054333804,1.8943368565891328,20.21505376344086,3.2951526694082296,43.63201911589008,5.557443699645404,100.0,0.0,0.0,0.0
main,mobilenet_v3_large,industrial,blur_moderate,3,14.694191360288599,1.838421148019359,20.69295101553166,3.305532763379447,43.63201911589008,5.2404980210035985,100.0,0.0,0.0,0.0
main,mobilenet_v3_large,industrial,blur_severe,3,14.585342166709951,1.4168409602478285,20.28673835125448,3.167939755409942,43.08243727598566,4.35509682554381,100.0,0.0,0.0,0.0
main,mobilenet_v3_large,industrial,perspective_moderate,3,15.148377883561158,6.0485350080911635,15.149342891278375,3.215701683140708,37.94504181600956,10.999867055312956,100.0,0.0,0.0,0.0
main,mobilenet_v3_large,industrial,perspective_severe,3,19.093102294908117,8.361335057321831,7.168458781362006,3.5669835998923958,18.160095579450417,9.102625517378787,100.0,0.0,0.0,0.0
main,mobilenet_v3_large,industrial,combined_severe,3,20.32516934471995,8.598611542019833,6.451612903225807,3.7082486469899822,15.961768219832736,7.617590755707074,100.0,0.0,0.0,0.0
main,mobilenet_v3_large,industrial,perspective_pair,3,17.12074008923464,7.204904214014244,11.158900836320191,3.257576198926426,28.052568697729985,9.96450151113456,100.0,0.0,0.0,0.0
main,mobilenet_v3_large,industrial,projective_three,3,18.18888317439641,7.662429998558408,9.589804858622061,3.381130094713715,24.02230187176424,9.178623979638816,100.0,0.0,0.0,0.0
main,yolo,industrial,all_conditions,3,32.69751352784665,6.458351130938141,20.927917164476305,1.5143732464298993,36.13301473516527,1.8012643109807955,89.41059338908799,8.29405045792267,886.3333333333334,694.212023328128
main,yolo,industrial,clean,3,16.74151557618842,2.7518949255008645,34.002389486260455,3.8365209221013403,56.200716845878134,1.517276737528083,99.7610513739546,0.16554846428375805,3.3333333333333335,2.3094010767585034
main,yolo,industrial,blur_moderate,3,16.379301028729966,3.1513172890341465,33.882915173237755,3.6764713565182707,56.43966547192354,0.5427869386666891,99.59378733572282,0.23043370994009293,5.666666666666667,3.2145502536643185
main,yolo,industrial,blur_severe,3,14.251252131738369,4.666671581115739,34.55197132616487,4.039221386947899,59.47431302270012,2.190000332117484,99.68936678614098,0.10950001660586828,4.333333333333333,1.5275252316519465
main,yolo,industrial,perspective_moderate,3,30.325081320058477,6.118397883183231,16.009557945041816,4.480334527821589,30.776583034647548,4.937571410130438,93.69175627240143,9.046185995787788,88.0,126.19429464123962
main,yolo,industrial,perspective_severe,3,57.219490305848474,13.821458775553493,3.584229390681004,2.8637970402061907,7.120669056152927,4.902582978535593,75.221027479092,17.88675313710436,345.6666666666667,249.52020626260577
main,yolo,industrial,combined_severe,3,61.26844080451619,18.375101746158723,3.536439665471924,3.341096546907222,6.786140979689367,6.241226504369306,68.50657108721624,25.2595710817879,439.3333333333333,352.37101659094117
main,yolo,industrial,perspective_pair,3,43.77228581295348,7.548176794510669,9.79689366786141,2.5607389693670752,18.94862604540024,3.6021653975929393,84.45639187574672,12.481681099310299,433.6666666666667,348.2389026707575
main,yolo,industrial,projective_three,3,49.60433747680772,11.103100120514698,7.710075667064914,2.5478393306103406,14.894464356829948,4.281672239618704,79.13978494623656,16.62775140178136,873.0,695.8713961645499
main,vdn,industrial,all_conditions,3,33.051908245997346,8.63035016214499,24.030266825965754,3.2341220605868677,36.88968538430904,4.952240299406633,89.41059338908799,8.29405045792267,886.3333333333334,694.212023328128
main,vdn,industrial,clean,3,24.127495835610393,3.0674890995454716,27.93309438470729,3.1486865299936215,44.6594982078853,3.190568184124428,99.7610513739546,0.16554846428375805,3.3333333333333335,2.3094010767585034
main,vdn,industrial,blur_moderate,3,23.936134178176115,3.2853574262367897,27.98088410991637,2.7710830026560975,44.75507765830346,4.405735777871746,99.59378733572282,0.23043370994009293,5.666666666666667,3.2145502536643185
main,vdn,industrial,blur_severe,3,23.025528027469065,3.4362869242382077,27.90919952210275,3.82444722062956,46.35603345280765,4.795014889970122,99.68936678614098,0.10950001660586828,4.333333333333333,1.5275252316519465
main,vdn,industrial,perspective_moderate,3,25.36824826997665,7.452496352503635,30.25089605734767,4.205020609623645,42.91517323775388,3.7388397728439857,93.69175627240143,9.046185995787788,88.0,126.19429464123962
main,vdn,industrial,perspective_severe,3,48.96397155397643,14.860212213006493,14.767025089605733,4.35096513419169,21.433691756272406,6.15861981612711,75.221027479092,17.88675313710436,345.6666666666667,249.52020626260577
