comparison,dataset,scope,candidate_nmae_pct_fs,reference_nmae_pct_fs,candidate_minus_reference_pct_fs,relative_error_reduction_pct,acc_at_2_gain_percentage_points,acc_at_5_gain_percentage_points,replicates,seed,rows_per_seed,ci95_low_pct_fs,ci95_high_pct_fs,relative_reduction_ci95_low_pct,relative_reduction_ci95_high_pct,groups,source_seed_count
geoprr_minus_resnet18,syncg,all_conditions,0.7406831818034855,2.4913783675129566,-1.7506951857094712,70.27014477359857,23.420833333333334,12.979166666666686,20000,20260907,24000,-1.8358887967788025,-1.6691689706089543,68.91097319365761,71.55508166458091,145,3
geoprr_minus_efficientnet_b0,syncg,all_conditions,0.7406831818034855,1.6594963879841056,-0.9188132061806201,55.3669904215194,17.813888888888897,4.941666666666663,20000,,24000,-0.9610256346538933,-0.8783101210996286,,,145,3
geoprr_minus_mobilenet_v3_large,syncg,all_conditions,0.7406831818034855,2.333959102021563,-1.5932759202180775,68.2649459811896,23.251388888888897,10.798611111111114,20000,20260907,24000,-1.6720604675321507,-1.517610784439141,66.71490801646657,69.72465737129266,145,3
geoprr_minus_yolo,syncg,all_conditions,0.7406831818034855,5.747765564792487,-5.007082382989001,87.11354571695676,25.858333333333334,16.65416666666667,20000,20260907,24000,-5.202865163513485,-4.814665734532387,86.34604540168375,87.80288268769483,145,3
geoprr_minus_vdn,syncg,all_conditions,0.7406831818034855,5.0128777196393175,-4.272194537835832,85.22439159244485,27.497222222222234,15.527777777777771,20000,20260907,24000,-4.448591654429381,-4.098825705195107,84.32547588298569,86.03942563072025,145,3
geoprr_minus_deeplab,syncg,all_conditions,0.7406831818034855,10.275702103896574,-9.535018922093089,92.7918970955511,25.825000000000017,18.872222222222234,20000,20260907,24000,-9.80331390971906,-9.270023831261968,92.36635921983286,93.17819163717492,145,3
geoprr_minus_resnet18,syncg,clean,0.5943754074958534,0.6153662492897615,-0.020990841793908088,3.4111135958683354,1.0833333333333286,0.45000000000000284,20000,20260907,4000,-0.05610490985638388,0.011280578896686946,-1.951091746177234,8.502862186467288,145,3
geoprr_minus_efficientnet_b0,syncg,clean,0.5943754074958534,0.6176217156104666,-0.023246308114613257,3.763842417949352,0.10833333333332007,-0.025000000000005684,20000,,4000,-0.025614173176193418,-0.020866244800102636,,,145,3
geoprr_minus_mobilenet_v3_large,syncg,clean,0.5943754074958534,0.6918110633423075,-0.09743565584645408,14.084142478976664,1.5916666666666686,0.24166666666667425,20000,20260907,4000,-0.1233798975841881,-0.07374534613704493,11.013938665494491,17.1866257401437,145,3
geoprr_minus_yolo,syncg,clean,0.5943754074958534,0.5126651848584897,0.08171022263736372,-15.938320964767305,-1.5166666666666515,-0.25,20000,20260907,4000,0.04272390559326494,0.11599139156357341,-23.827954899602666,-7.783258036931997,145,3
