dataset,comparator,rescue_pct_mean,rescue_pct_sample_sd,regression_pct_mean,regression_pct_sample_sd,net_acc5_gain_pp
syncg,resnet18,13.276388888888889,0.20079414094299922,0.2972222222222222,0.03127313958110473,12.979166666666666
syncg,efficientnet_b0,5.019444444444445,0.5930783237888134,0.07777777777777778,0.01339395939026799,4.941666666666667
syncg,mobilenet_v3_large,11.106944444444444,0.960543947940919,0.30833333333333335,0.02732266051792502,10.79861111111111
syncg,yolo,17.131944444444443,2.183199476388657,0.4777777777777778,0.022948210613692094,16.654166666666665
syncg,vdn,16.040277777777778,2.6144142818300695,0.5125,0.04695594862326935,15.527777777777779
syncg,deeplab,19.34722222222222,2.4180108809454044,0.475,0.011023963796102453,18.87222222222222
rf100,resnet18,33.29654157468727,2.8190747247226655,5.003679175864606,2.3187566234862,28.292862398822663
rf100,efficientnet_b0,12.398822663723326,2.558548734468537,1.6188373804267844,0.3372020378922619,10.779985283296542
rf100,mobilenet_v3_large,24.319352465047828,1.9506572688464412,5.481972038263429,0.8284275385723111,18.8373804267844
rf100,yolo,37.52759381898455,1.9898185846931478,4.4518027961736575,0.9387307448250972,33.07579102281089
rf100,vdn,37.74834437086093,6.254490757839818,4.8933038999264165,0.7009771480227247,32.85504047093451
rf100,deeplab,43.85577630610743,0.8852987060718158,4.525386313465784,1.338229100770656,39.33038999264164
industrial,resnet18,30.840302668259657,5.45007629535569,3.5404221425726803,0.6085376175403119,27.299880525686977
industrial,efficientnet_b0,12.95499800876145,2.1802125356555346,2.548785344484269,0.8424704165557695,10.40621266427718
industrial,mobilenet_v3_large,25.20111509358821,6.30933353486496,7.128634010354441,3.416930540409122,18.072481083233768
industrial,yolo,26.200716845878134,1.4157075940384292,10.52568697729988,1.1200039804308692,15.675029868578253
industrial,vdn,27.367582636399842,3.178114041083632,12.449223416965353,1.211118365349982,14.918359219434489
industrial,deeplab,28.550378335324574,2.1772315584681836,12.421346077260056,0.883813871883035,16.12903225806452
